,Nombre,Nacimiento,País,year,month,day,trimestre
0,"Aagaard, Jacob",1973-07-31,Denmark,1973,7,31,3
1,"Abasov, Nijat",1995-05-14,Azerbaijan,1995,5,14,2
2,"Abbasifar, Hasan",1972-09-12,Iran,1972,9,12,3
3,"Abbasov, Farid",1979-01-31,Azerbaijan,1979,1,31,1
4,"Abdumalik, Zhansaya",2000-01-12,Kazakhstan,2000,1,12,1
5,"Abdusattorov, Nodirbek",2004-09-18,Uzbekistan,2004,9,18,3
6,"Abergel, Thal",1982-10-13,France,1982,10,13,4
7,"Abramović, Boško",1951-02-14,Yugoslavia,1951,2,14,1
8,"Abreu Delgado, Aryam",1978-07-09,Cuba,1978,7,9,3
9,"Ács, Péter",1981-05-10,Hungary,1981,5,10,2
10,"Aczél, Gergely",1991-02-27,Hungary,1991,2,27,1
11,"Adams, Michael",1971-11-17,England,1971,11,17,4
12,Adhiban B.,1992-08-15,India,1992,8,15,3
13,"Adianto, Utut",1965-03-16,Indonesia,1965,3,16,1
14,"Adly, Ahmed",1987-02-19,Egypt,1987,2,19,1
15,"Adorján, András",1950-03-31,Hungary,1950,3,31,1
16,"Afanasiev, Nikita",2000-08-29,Russia,2000,8,29,3
17,"Agaragimov, Djakhangir",1986-12-05,Azerbaijan,1986,12,5,4
18,"Agdestein, Simen",1967-05-15,Norway,1967,5,15,2
19,"Aghamaliyev, Cemil",1974-08-31,Azerbaijan,1974,8,31,3
20,"Aghasaryan, Robert",1994-03-01,Armenia,1994,3,1,1
21,"Agrest, Evgenij",1966-08-15,Russia,1966,8,15,3
22,"Agüero Jiménez, Luis Lázaro",1991-01-05,Cuba,1991,1,5,1
23,"Agzamov, Georgy",1954-09-06,Soviet Union,1954,9,6,3
24,"Ajrapetjan, Yuriy",1988-04-18,Ukraine,1988,4,18,2
25,"Akash, G.",1996-10-01,India,1996,10,1,4
26,"Akbaev, Kazbek",1981-06-08,Russia,1981,6,8,2
27,"Åkesson, Ralf",1961-02-08,Sweden,1961,2,8,1
28,"Akobian, Varuzhan",1983-11-19,Armenia,1983,11,19,4
29,"Akopian, Vladimir",1971-12-07,Armenia,1971,12,7,4
30,Akshayraj Kore,1988-09-01,India,1988,9,1,3
31,"Al-Sayed, Mohamad",1981-11-02,Qatar,1981,11,2,4
32,"Al-Mudahka, Mohd",1974-06-01,Qatar,1974,6,1,2
33,"Alatortsev, Vladimir",1909-05-14,Soviet Union,1909,5,14,2
34,"Alavkin, Arseny",1969-01-17,Russia,1969,1,17,1
35,"Albornoz Cabrera, Carlos Daniel",2000-12-26,Cuba,2000,12,26,4
36,"Alburt, Lev",1945-08-21,Soviet Union,1945,8,21,3
37,"Aleksandrov, Aleksej",1973-05-11,Belarus,1973,5,11,2
38,"Alekseenko, Kirill",1997-06-22,Russia,1997,6,22,2
39,"Alekseev, Evgeny",1985-11-28,Russia,1985,11,28,4
40,"Ali Marandi, Cemil Can",1998-01-17,Turkey,1998,1,17,1
41,"Almási, Zoltán",1976-08-29,Hungary,1976,8,29,3
42,"Almeida Quintana, Omar",1981-10-28,Cuba,1981,10,28,4
43,"Alonso Rosell, Alvar",1992-09-13,Spain,1992,9,13,3
44,"Alonso, Salvador",1974-09-07,Argentina,1974,9,7,3
45,"Alsina Leal, Daniel",1988-05-10,Spain,1988,5,10,2
46,"Alterman, Boris",1970-05-04,Ukraine,1970,5,4,2
47,"Alvarez Pedraza, Aramis",1988-07-27,Cuba,1988,7,27,3
48,"Amanov, Mesgen",1986-09-06,Turkmenistan,1986,9,6,3
49,"Amin, Bassem",1988-09-09,Egypt,1988,9,9,3
50,"Amonatov, Farrukh",1978-04-13,Tajikistan,1978,4,13,2
51,"Anagno­stopoulos, Dimitris",1970-06-11,Greece,1970,6,11,2
52,"Anand, Viswanathan",1969-12-11,India,1969,12,11,4
53,"Anastasian, Ashot",1964-07-16,Armenia,1964,7,16,3
54,"Andersen, Mads",1995-03-01,Denmark,1995,3,1,1
55,"Andersson, Ulf",1951-06-27,Sweden,1951,6,27,2
56,"Andreev, Eduard",1980-03-12,Ukraine,1980,3,12,1
57,"Andreikin, Dmitry",1990-02-05,Russia,1990,2,5,1
58,"Andriasian, Zaven",1989-03-11,Armenia,1989,3,11,1
59,"Anić, Darko",1957-04-30,France,1957,4,30,2
60,"Anisimov, Pavel",1986-04-19,Russia,1986,4,19,2
61,"Anka, Emil",1969-01-20,Hungary,1969,1,20,1
62,"Annageldyev, Orazly",1960-03-20,Turkmenistan,1960,3,20,1
63,"Annakov, Babakuli",1972-05-29,Turkmenistan,1972,5,29,2
64,"Antal, Gergely",1985-03-20,Hungary,1985,3,20,1
65,"Antić, Dejan",1968-12-09,Yugoslavia (S&M),1968,12,9,4
66,"Antipov, Mikhail",1997-06-10,Russia,1997,6,10,2
67,"Antón Guijarro, David",1995-06-23,Spain,1995,6,23,2
68,"Antoniewski, Rafał",1980-12-03,Poland,1980,12,3,4
69,"Antonio, Rogelio Jr.",1962-02-19,Philippines,1962,2,19,1
70,"Antoshin, Vladimir",1929-05-14,Russia,1929,5,14,2
71,"Antunes, Antônio",1962-02-06,Portugal,1962,2,6,1
72,"Apicella, Manuel",1970-04-19,France,1970,4,19,2
73,"Appel, Ralf",1971-07-18,Germany,1971,7,18,3
74,"Arakhamia-Grant, Ketevan",1968-07-19,Scotland,1968,7,19,3
75,Aravindh Chithambaram,1999-09-11,India,1999,9,11,3
76,"Arbakov, Valentin",1952-01-28,Russia,1952,1,28,1
