,Unnamed: 0,Nombre,Nacimiento,PaÃ­s,year,month,day,trimestre
0,0,"Aagaard, Jacob",1973-07-31,Denmark,1973,7,31,3
1,1,"Abasov, Nijat",1995-05-14,Azerbaijan,1995,5,14,2
2,2,"Abbasifar, Hasan",1972-09-12,Iran,1972,9,12,3
3,3,"Abbasov, Farid",1979-01-31,Azerbaijan,1979,1,31,1
4,4,"Abdumalik, Zhansaya",2000-01-12,Kazakhstan,2000,1,12,1
5,5,"Abdusattorov, Nodirbek",2004-09-18,Uzbekistan,2004,9,18,3
6,6,"Abergel, Thal",1982-10-13,France,1982,10,13,4
7,7,"AbramoviÄ, BoÅ¡ko",1951-02-14,Yugoslavia,1951,2,14,1
8,8,"Abreu Delgado, Aryam",1978-07-09,Cuba,1978,7,9,3
9,9,"Ãcs, PÃ©ter",1981-05-10,Hungary,1981,5,10,2
10,10,"AczÃ©l, Gergely",1991-02-27,Hungary,1991,2,27,1
12,12,Adhiban B.,1992-08-15,India,1992,8,15,3
13,13,"Adianto, Utut",1965-03-16,Indonesia,1965,3,16,1
14,14,"Adly, Ahmed",1987-02-19,Egypt,1987,2,19,1
15,15,"AdorjÃ¡n, AndrÃ¡s",1950-03-31,Hungary,1950,3,31,1
16,16,"Afanasiev, Nikita",2000-08-29,Russia,2000,8,29,3
17,17,"Agaragimov, Djakhangir",1986-12-05,Azerbaijan,1986,12,5,4
18,18,"Agdestein, Simen",1967-05-15,Norway,1967,5,15,2
19,19,"Aghamaliyev, Cemil",1974-08-31,Azerbaijan,1974,8,31,3
20,20,"Aghasaryan, Robert",1994-03-01,Armenia,1994,3,1,1
21,21,"Agrest, Evgenij",1966-08-15,Russia,1966,8,15,3
22,22,"AgÃ¼ero JimÃ©nez, Luis LÃ¡zaro",1991-01-05,Cuba,1991,1,5,1
23,23,"Agzamov, Georgy",1954-09-06,Soviet Union,1954,9,6,3
24,24,"Ajrapetjan, Yuriy",1988-04-18,Ukraine,1988,4,18,2
25,25,"Akash, G.",1996-10-01,India,1996,10,1,4
26,26,"Akbaev, Kazbek",1981-06-08,Russia,1981,6,8,2
27,27,"Ãkesson, Ralf",1961-02-08,Sweden,1961,2,8,1
28,28,"Akobian, Varuzhan",1983-11-19,Armenia,1983,11,19,4
29,29,"Akopian, Vladimir",1971-12-07,Armenia,1971,12,7,4
30,30,Akshayraj Kore,1988-09-01,India,1988,9,1,3
31,31,"Al-Sayed, Mohamad",1981-11-02,Qatar,1981,11,2,4
32,32,"Al-Mudahka, Mohd",1974-06-01,Qatar,1974,6,1,2
33,33,"Alatortsev, Vladimir",1909-05-14,Soviet Union,1909,5,14,2
34,34,"Alavkin, Arseny",1969-01-17,Russia,1969,1,17,1
35,35,"Albornoz Cabrera, Carlos Daniel",2000-12-26,Cuba,2000,12,26,4
36,36,"Alburt, Lev",1945-08-21,Soviet Union,1945,8,21,3
37,37,"Aleksandrov, Aleksej",1973-05-11,Belarus,1973,5,11,2
38,38,"Alekseenko, Kirill",1997-06-22,Russia,1997,6,22,2
39,39,"Alekseev, Evgeny",1985-11-28,Russia,1985,11,28,4
40,40,"Ali Marandi, Cemil Can",1998-01-17,Turkey,1998,1,17,1
41,41,"AlmÃ¡si, ZoltÃ¡n",1976-08-29,Hungary,1976,8,29,3
42,42,"Almeida Quintana, Omar",1981-10-28,Cuba,1981,10,28,4
43,43,"Alonso Rosell, Alvar",1992-09-13,Spain,1992,9,13,3
44,44,"Alonso, Salvador",1974-09-07,Argentina,1974,9,7,3
45,45,"Alsina Leal, Daniel",1988-05-10,Spain,1988,5,10,2
46,46,"Alterman, Boris",1970-05-04,Ukraine,1970,5,4,2
47,47,"Alvarez Pedraza, Aramis",1988-07-27,Cuba,1988,7,27,3
48,48,"Amanov, Mesgen",1986-09-06,Turkmenistan,1986,9,6,3
49,49,"Amin, Bassem",1988-09-09,Egypt,1988,9,9,3
50,50,"Amonatov, Farrukh",1978-04-13,Tajikistan,1978,4,13,2
51,51,"AnagnoÂ­stopoulos, Dimitris",1970-06-11,Greece,1970,6,11,2
52,52,"Anand, Viswanathan",1969-12-11,India,1969,12,11,4
53,53,"Anastasian, Ashot",1964-07-16,Armenia,1964,7,16,3
54,54,"Andersen, Mads",1995-03-01,Denmark,1995,3,1,1
55,55,"Andersson, Ulf",1951-06-27,Sweden,1951,6,27,2
56,56,"Andreev, Eduard",1980-03-12,Ukraine,1980,3,12,1
57,57,"Andreikin, Dmitry",1990-02-05,Russia,1990,2,5,1
58,58,"Andriasian, Zaven",1989-03-11,Armenia,1989,3,11,1
59,59,"AniÄ, Darko",1957-04-30,France,1957,4,30,2
60,60,"Anisimov, Pavel",1986-04-19,Russia,1986,4,19,2
61,61,"Anka, Emil",1969-01-20,Hungary,1969,1,20,1
62,62,"Annageldyev, Orazly",1960-03-20,Turkmenistan,1960,3,20,1
63,63,"Annakov, Babakuli",1972-05-29,Turkmenistan,1972,5,29,2
64,64,"Antal, Gergely",1985-03-20,Hungary,1985,3,20,1
65,65,"AntiÄ, Dejan",1968-12-09,Yugoslavia (S&M),1968,12,9,4
66,66,"Antipov, Mikhail",1997-06-10,Russia,1997,6,10,2
67,67,"AntÃ³n Guijarro, David",1995-06-23,Spain,1995,6,23,2
68,68,"Antoniewski, RafaÅ",1980-12-03,Poland,1980,12,3,4
69,69,"Antonio, Rogelio Jr.",1962-02-19,Philippines,1962,2,19,1
70,70,"Antoshin, Vladimir",1929-05-14,Russia,1929,5,14,2
71,71,"Antunes, AntÃ´nio",1962-02-06,Portugal,1962,2,6,1
72,72,"Apicella, Manuel",1970-04-19,France,1970,4,19,2
73,73,"Appel, Ralf",1971-07-18,Germany,1971,7,18,3
74,74,"Arakhamia-Grant, Ketevan",1968-07-19,Scotland,1968,7,19,3
75,75,Aravindh Chithambaram,1999-09-11,India,1999,9,11,3
76,76,"Arbakov, Valentin",1952-01-28,Russia,1952,1,28,1
77,77,Ardiansyah,1951-12-05,Indonesia,1951,12,5,4
78,78,"Arenas, David",1991-12-24,Colombia,1991,12,24,4
79,79,"Arencibia RodrÃ­guez, Walter",1967-07-21,Cuba,1967,7,21,3
80,80,"Areshchenko, Alexander",1986-06-15,Ukraine,1986,6,15,2
81,81,"Arizmendi MartÃ­nez, Julen LuÃ­s",1976-07-05,Spain,1976,7,5,3
82,82,Arjun Kalyan,2002-06-17,India,2002,6,17,2
84,84,"Arkhipov, Sergey",1954-06-23,Russia,1954,6,23,2
85,85,"Ãrnason, JÃ³n L.",1960-11-13,Iceland,1960,11,13,4
86,86,"Arnaudov, G. Petar",1986-08-08,Bulgaria,1986,8,8,3
88,88,"Aronian, Levon",1982-10-06,Armenia,1982,10,6,4
89,89,"Aroshidze, Levan",1985-07-09,Georgia,1985,7,9,3
90,90,"Arribas Lopez, Angel",1993-11-27,Spain,1993,11,27,4
91,91,"Artemiev, Vladislav",1998-03-05,Russia,1998,3,5,1
92,92,"Arun Prasad, S.",1988-04-21,India,1988,4,21,2
93,93,"Arutinian, David",1984-05-31,Georgia,1984,5,31,2
94,94,Aryan Chopra,2001-12-10,India,2001,12,10,4
95,95,"Arzumanian, Georgy",1980-08-16,Armenia,1980,8,16,3
96,96,"Asadli, Vugar",2001-10-09,Azerbaijan,2001,10,9,4
97,97,"Asanov, Bolat",1961-05-07,Kazakhstan,1961,5,7,2
98,98,"Aseev, Konstantin",1960-10-20,Russia,1960,10,20,4
100,100,"Asis Gargatagli, Hipolito",1986-08-17,Spain,1986,8,17,3
101,101,"Askarov, Marat",1987-06-29,Russia,1987,6,29,2
102,102,"Asrian, Karen",1980-04-24,Armenia,1980,4,24,2
103,103,"Atabayev, Maksat",1994-12-28,Turkmenistan,1994,12,28,4
104,104,"AtalÄ±k, Suat",1964-10-10,Turkey,1964,10,10,4
105,105,"Averbakh, Yuri L.",1922-02-08,Soviet Union,1922,2,8,1
106,106,"Aveskulov, Valeriy",1986-01-31,Ukraine,1986,1,31,1
107,107,"Avrukh, Boris",1978-02-10,Israel,1978,2,10,1
108,108,"Azarov, Sergei",1983-05-19,Belarus,1983,5,19,2
109,109,"AzmaiparaÂ­shvili, Zurab",1960-03-16,Soviet Union,1960,3,16,1
110,110,"Babaev, Rashad",1981-09-03,Azerbaijan,1981,9,3,3
111,111,"Babujian, Levon",1986-05-08,Armenia,1986,5,8,2
112,112,"Babula, Vlastimil",1973-10-02,Czech Republic,1973,10,2,4
113,113,"Baburin, Alexander",1967-02-19,Israel,1967,2,19,1
114,114,"Bacallao Alonso, Yusnel",1988-06-21,Cuba,1988,6,21,2
115,115,"Bachmann, Axel",1989-11-04,Paraguay,1989,11,4,4
116,116,"Bacrot, Ãtienne",1983-01-22,France,1983,1,22,1
117,117,"Badea, Bela",1969-02-21,Romania,1969,2,21,1
118,118,"Bagaturov, Giorgi",1964-11-28,Georgia,1964,11,28,4
119,119,"Baghdasaryan, Vahe",1993-03-20,Armenia,1993,3,20,1
120,120,"Bagheri, Amir",1978-09-20,Iran,1978,9,20,3
121,121,"Bagirov, Rufat",1979-10-10,Azerbaijan,1979,10,10,4
122,122,"Bagirov, Vladimir",1936-08-16,Soviet Union,1936,8,16,3
123,123,"Bagrationi, Alexander",1990-07-13,Ukraine,1990,7,13,3
124,124,Bai Jinshi,1999-05-18,China,1999,5,18,2
125,125,"Bajarani, Ulvi",1995-01-27,Azerbaijan,1995,1,27,1
126,126,"Baklan, Vladimir",1978-02-25,Ukraine,1978,2,25,1
127,127,"Bakre, Tejas",1981-05-12,India,1981,5,12,2
129,129,"Balashov, Yuri S.",1949-03-12,Soviet Union,1949,3,12,1
130,130,"Baldauf, Marco",1990-04-16,Germany,1990,4,16,2
131,131,"Balinas, Rosendo Jr.",1941-09-10,Philippines,1941,9,10,3
132,132,"Balinov, Ilia",1966-07-28,Austria,1966,7,28,3
133,133,"Balog, Imre",1991-10-28,Hungary,1991,10,28,4
134,134,"Balogh, Csaba",1987-03-10,Hungary,1987,3,10,1
135,135,"Banikas, Hristos",1978-05-20,Greece,1978,5,20,2
136,136,"BÃ¡nusz, TamÃ¡s",1989-04-08,Hungary,1989,4,8,2
137,137,"Baramidze, David",1988-09-27,Germany,1988,9,27,3
