,Player,dob,year,month,day,trimestre,Deporte
218,Rik Smits,"Aug 23, 1966",1966,8,23,3,Baloncesto
256,Detlef Schrempf,"Jan 21, 1963",1963,1,21,1,Baloncesto
302,Luc Longley,"Jan 19, 1969",1969,1,19,1,Baloncesto
357,Petar Naumoski,"Aug 27, 1968",1968,8,27,3,Baloncesto
365,Dino Radja,"Apr 24, 1967",1967,4,24,2,Baloncesto
393,Andrius Jurkunas,"May 21, 1976",1976,5,21,2,Baloncesto
396,Dimitris Papanikolaou,"Feb 7, 1977",1977,2,7,1,Baloncesto
398,Darko Krunic,"Sep 29, 1968",1968,9,29,3,Baloncesto
408,Kestutis Marciulionis,"Mar 24, 1976",1976,3,24,1,Baloncesto
420,Evangelos Koronios,"Mar 16, 1969",1969,3,16,1,Baloncesto
429,Davor Pejcinovic,"Mar 28, 1971",1971,3,28,1,Baloncesto
430,Joffre Lleal,"Aug 3, 1971",1971,8,3,3,Baloncesto
435,Serguei Bazarevitch,"Mar 16, 1965",1965,3,16,1,Baloncesto
446,Petar Arsic,"Nov 6, 1973",1973,11,6,4,Baloncesto
447,Dusan Stevic,"Jan 22, 1971",1971,1,22,1,Baloncesto
454,Wouter De Wilde,"Sep 16, 1976",1976,9,16,3,Baloncesto
459,Mauro Sartori,"Feb 9, 1970",1970,2,9,1,Baloncesto
460,Alan Tomidy,"Jan 17, 1974",1974,1,17,1,Baloncesto
461,Dejan Jovanovski,"Mar 26, 1973",1973,3,26,1,Baloncesto
462,Fabio Ribeiro,"Apr 8, 1986",1986,4,8,2,Baloncesto
464,Puppy Turgeman,"Apr 7, 1970",1970,4,7,2,Baloncesto
468,Eubeney Kissourine,"Jan 28, 1969",1969,1,28,1,Baloncesto
476,Dzevad Alihodzic,"Feb 13, 1969",1969,2,13,1,Baloncesto
481,James Shields,"May 14, 1970",1970,5,14,2,Baloncesto
486,David Desy,"May 8, 1971",1971,5,8,2,Baloncesto
488,Robin Grey,"Aug 9, 1976",1976,8,9,3,Baloncesto
490,David Berbois,"Jul 30, 1973",1973,7,30,3,Baloncesto
495,Peleg Barak,"Jun 16, 1972",1972,6,16,2,Baloncesto
497,Marijan Kraljevic,"Apr 30, 1970",1970,4,30,2,Baloncesto
500,Erik Cleymans,"Feb 4, 1970",1970,2,4,1,Baloncesto
502,Claudio Pilutti,"Apr 28, 1968",1968,4,28,2,Baloncesto
503,Niklas Lutcke,"Aug 14, 1974",1974,8,14,3,Baloncesto
787,Olden Polynice,"Nov 21, 1964",1964,11,21,4,Baloncesto
818,Jake Tsakalidis,"Jun 10, 1979",1979,6,10,2,Baloncesto
852,Ademola Olulaja,"Jul 10, 1985",1985,7,10,3,Baloncesto
857,Mikhail Mikhailov,"May 17, 1971",1971,5,17,2,Baloncesto
863,Vasily Karasev,"Apr 14, 1971",1971,4,14,2,Baloncesto
880,Arturas Karnisovas,"Apr 27, 1971",1971,4,27,2,Baloncesto
882,Andrea Meneghin,"Feb 20, 1974",1974,2,20,1,Baloncesto
887,Valeri Daineko,"Jan 14, 1970",1970,1,14,1,Baloncesto
897,Zoran Savic,"Nov 18, 1966",1966,11,18,4,Baloncesto
898,Grygorgii Khizhniak,"Jan 16, 1974",1974,1,16,1,Baloncesto
941,Gur Shelef,"Jan 10, 1974",1974,1,10,1,Baloncesto
955,Inyang Ime Oduok,"Dec 6, 1971",1971,12,6,4,Baloncesto
956,Alex Lokhmanchuk,"May 28, 1973",1973,5,28,2,Baloncesto
960,Veljko Mrsic,"Apr 13, 1971",1971,4,13,2,Baloncesto
970,Nadav Henefeld,"Jun 19, 1968",1968,6,19,2,Baloncesto
973,Jurij Zdovc,"Dec 13, 1966",1966,12,13,4,Baloncesto
996,Dejan Radonjic,"Feb 2, 1970",1970,2,2,1,Baloncesto
1009,Alexis Papadatos,"Apr 5, 1976",1976,4,5,2,Baloncesto
1020,Ibrahim Diarra,"Nov 12, 1973",1973,11,12,4,Baloncesto
1193,Vitaly Potapenko,"Mar 21, 1975",1975,3,21,1,Baloncesto
1211,Felipe Lopez,"Dec 19, 1974",1974,12,19,4,Baloncesto
