,short_name,player_positions,overall,nationality_name,age,dob,league_name,height_cm,weight_kg,year,month,day,trimestre
22,Sergio Ramos,CB,88,Spain,35,1986-03-30,French Ligue 1,184,82,1986,3,30,1
50,Jordi Alba,"LB, LM",86,Spain,32,1989-03-21,Spain Primera Division,170,68,1989,3,21,1
51,Thiago,"CM, CDM",86,Spain,30,1991-04-11,English Premier League,174,70,1991,4,11,2
52,Sergio Busquets,"CDM, CM",86,Spain,32,1988-07-16,Spain Primera Division,189,76,1988,7,16,3
53,Parejo,CM,86,Spain,32,1989-04-16,Spain Primera Division,182,74,1989,4,16,2
59,Gerard Moreno,"ST, RM, RW",86,Spain,29,1992-04-07,Spain Primera Division,180,77,1992,4,7,2
63,A. Laporte,CB,86,Spain,27,1994-05-27,English Premier League,191,85,1994,5,27,2
66,Marcos Llorente,"CM, RM, ST",86,Spain,26,1995-01-30,Spain Primera Division,184,74,1995,1,30,1
67,Rodri,CDM,86,Spain,25,1996-06-22,English Premier League,191,82,1996,6,22,2
72,David Silva,"CAM, CM",85,Spain,35,1986-01-08,Spain Primera Division,173,67,1986,1,8,1
82,Koke,"CM, CDM",85,Spain,29,1992-01-08,Spain Primera Division,176,75,1992,1,8,1
87,Carvajal,RB,85,Spain,29,1992-01-11,Spain Primera Division,173,73,1992,1,11,1
92,Oyarzabal,"LW, RW",85,Spain,24,1997-04-21,Spain Primera Division,181,79,1997,4,21,2
98,JesÃºs Navas,"RB, RM",84,Spain,35,1985-11-21,Spain Primera Division,172,60,1985,11,21,4
99,PiquÃ©,CB,84,Spain,34,1987-02-02,Spain Primera Division,194,85,1987,2,2,1
105,Iago Aspas,"ST, RW",84,Spain,33,1987-08-01,Spain Primera Division,176,67,1987,8,1,3
106,De Gea,GK,84,Spain,30,1990-11-07,English Premier League,192,82,1990,11,7,4
108,Luis Alberto,"CAM, CM, CF",84,Spain,28,1992-09-28,Italian Serie A,183,74,1992,9,28,3
143,Sergio Asenjo,GK,83,Spain,32,1989-06-28,Spain Primera Division,189,87,1989,6,28,2
148,Azpilicueta,"CB, RWB",83,Spain,31,1989-08-28,English Premier League,178,77,1989,8,28,3
150,Muniain,"CAM, RM, LM",83,Spain,28,1992-12-19,Spain Primera Division,170,66,1992,12,19,4
151,Canales,"CM, CDM, LM",83,Spain,30,1991-02-16,Spain Primera Division,176,65,1991,2,16,1
163,Morata,ST,83,Spain,28,1992-10-23,Italian Serie A,190,84,1992,10,23,4
174,GayÃ ,"LB, LWB, LM",83,Spain,26,1995-05-25,Spain Primera Division,172,66,1995,5,25,2
180,AngeliÃ±o,"LWB, LM",83,Spain,24,1997-01-04,German 1. Bundesliga,175,69,1997,1,4,1
182,Marco Asensio,"RW, LW",83,Spain,25,1996-01-21,Spain Primera Division,182,76,1996,1,21,1
185,Merino,CM,83,Spain,25,1996-06-22,Spain Primera Division,189,83,1996,6,22,2
200,RaÃºl Albiol,CB,82,Spain,35,1985-09-04,Spain Primera Division,190,82,1985,9,4,3
208,Yuri Berchiche,LB,82,Spain,31,1990-02-10,Spain Primera Division,181,80,1990,2,10,1
223,Isco,"CAM, CM, LW",82,Spain,29,1992-04-21,Spain Primera Division,176,79,1992,4,21,2
227,CampaÃ±a,"CM, LM, RM",82,Spain,28,1993-05-31,Spain Primera Division,179,70,1993,5,31,2
230,Suso,RW,82,Spain,27,1993-11-19,Spain Primera Division,176,70,1993,11,19,4
232,Juan Bernat,LB,82,Spain,28,1993-03-01,French Ligue 1,170,67,1993,3,1,1
233,Portu,"RW, RM, LW",82,Spain,29,1992-05-21,Spain Primera Division,167,66,1992,5,21,2
236,SaÃºl,"CM, LM",82,Spain,26,1994-11-21,English Premier League,184,75,1994,11,21,4
239,Grimaldo,"LB, LM, LWB",82,Spain,25,1995-09-20,Portuguese Liga ZON SAGRES,171,69,1995,9,20,3
258,FabiÃ¡n,CM,82,Spain,25,1996-04-03,Italian Serie A,189,70,1996,4,3,2
262,Mario Hermoso,"CB, LB",82,Spain,26,1995-06-18,Spain Primera Division,185,76,1995,6,18,2
267,Unai SimÃ³n,GK,82,Spain,24,1997-06-11,Spain Primera Division,190,89,1997,6,11,2
280,Ferran Torres,"RW, ST",82,Spain,21,2000-02-29,English Premier League,184,77,2000,2,29,1
281,Pau Torres,CB,82,Spain,24,1997-01-16,Spain Primera Division,191,80,1997,1,16,1
283,Dani Olmo,"CAM, CF",82,Spain,23,1998-05-07,German 1. Bundesliga,179,72,1998,5,7,2
284,JoaquÃ­n,"RM, LM",81,Spain,39,1981-07-21,Spain Primera Division,179,75,1981,7,21,3
295,AdÃ¡n,GK,81,Spain,34,1987-05-13,Portuguese Liga ZON SAGRES,190,86,1987,5,13,2
304,Aitor,GK,81,Spain,30,1991-05-03,Spain Primera Division,182,78,1991,5,3,2
309,Jonathan Viera,CAM,81,Spain,31,1989-10-01,Spanish Segunda DivisiÃ³n,171,67,1989,10,1,4
312,Sergi Roberto,"RB, CM, RM",81,Spain,29,1992-02-07,Spain Primera Division,178,68,1992,2,7,1
315,Paco AlcÃ¡cer,ST,81,Spain,27,1993-08-30,Spain Primera Division,175,70,1993,8,30,3
316,Nacho FernÃ¡ndez,"CB, RB, LB",81,Spain,31,1990-01-18,Spain Primera Division,180,76,1990,1,18,1
