,Nombre,Nacimiento,year,month,day,trimestre
0,"Ábalos Meco, José Luis",09/12/1959,1959,9,12,3
1,"Abascal Conde, Santiago",14/04/1976,1976,4,14,2
2,"Aceves Galindo, José Luis",21/05/1970,1970,5,21,2
3,"Agirretxea Urresti, Joseba Andoni",06/08/1966,1966,6,8,2
4,"Aizcorbe Torra, Juan José",09/07/1959,1959,9,7,3
5,"Aizpurua Arzallus, Mertxe",08/01/1960,1960,8,1,3
6,"Alcaraz Martos, Francisco José",09/11/1968,1968,9,11,3
7,"Alfonso Cendón, Javier",21/10/1983,1983,10,21,4
8,"Almodóbar Barceló, Agustín",01/12/1977,1977,1,12,1
9,"Alonso Pérez, José Ángel",22/02/1993,1993,2,22,1
10,"Alonso Suárez, María Olga",12/07/1962,1962,12,7,4
11,"Álvarez de Toledo Peralta-Ramos, Cayetana",15/10/1974,1974,10,15,4
12,"Álvarez Fanjul, Beatriz",23/08/1991,1991,8,23,3
13,"Álvarez i García, Gerard",06/05/1989,1989,6,5,2
14,"Andrés Añón, Carmen",19/10/1964,1964,10,19,4
15,"Andrés Barea, Josefa",17/02/1958,1958,2,17,1
16,"Anguita Pérez, Omar",03/11/1990,1990,3,11,1
17,"Angulo Romero, María Teresa",17/05/1968,1968,5,17,2
18,"Antón Cacho, Javier",24/10/1972,1972,10,24,4
19,"Aragonés Mendiguchía, Carlos",14/10/1956,1956,10,14,4
20,"Aranda Vargas, Francisco",30/06/1977,1977,6,30,2
21,"Araujo Morales, Gemma",05/03/1979,1979,5,3,2
22,"Arribas Maroto, Manuel",13/12/1986,1986,12,13,4
23,"Arrimadas García, Inés",03/07/1981,1981,3,7,1
24,"Asarta Cuevas, Alberto",14/11/1951,1951,11,14,4
25,"Asens Llodrà, Jaume",29/03/1972,1972,3,29,1
26,"Azorín Salar, Lázaro",09/04/1975,1975,9,4,3
27,"Bal Francés, Edmundo",02/07/1967,1967,2,7,1
28,"Baldoví Roda, Joan",07/08/1958,1958,7,8,3
29,"Baños Ruiz, Carmen",22/10/1972,1972,10,22,4
30,"Barandiaran Benito, Íñigo",19/02/1959,1959,2,19,1
31,"Bas Corugeira, Javier",13/03/1963,1963,3,13,1
32,"Bassa Coll, Montserrat",20/04/1965,1965,4,20,2
33,"Batet Lamaña, Meritxell",19/03/1973,1973,3,19,1
34,"Bel Accensi, Ferran",01/06/1965,1965,1,6,1
35,"Belarra Urteaga, Ione",25/09/1987,1987,9,25,3
36,"Beltrán Villalba, Ana María",16/01/1966,1966,1,16,1
37,"Berja Vega, Laura",05/07/1986,1986,5,7,2
38,"Bermúdez de Castro Fernández, José Antonio",05/09/1959,1959,5,9,2
39,"Betoret Coll, Vicente",06/09/1972,1972,6,9,2
40,"Blanquer Alcaraz, Patricia",12/05/1973,1973,12,5,4
41,"Boadella Esteve, Genís",20/03/1979,1979,3,20,1
42,"Borrás Pabón, Mireia",14/10/1986,1986,10,14,4
43,"Borrego Cortés, Isabel María",11/05/1968,1968,11,5,4
44,"Botella Gómez, Ana María",12/02/1958,1958,12,2,4
45,"Botran Pahissa, Albert",14/01/1984,1984,1,14,1
46,"Bravo Barco, Eva",10/05/1976,1976,10,5,4
47,"Bueno Campanario, Eva Patricia",29/05/1971,1971,5,29,2
48,"Bustamante Martín, Miguel Ángel",01/08/1984,1984,1,8,1
49,"Caballero Gutiérrez, Helena",13/07/1959,1959,7,13,3
50,"Cabezón Casas, Tomás",07/12/1981,1981,7,12,3
51,"Callejas Cano, Juan Antonio",24/10/1974,1974,10,24,4
52,"Calvo Gómez, Pilar",03/05/1963,1963,3,5,1
53,"Calvo Liste, Pablo Juan",17/02/1965,1965,2,17,1
54,"Calvo Poyato, Carmen",09/06/1957,1957,9,6,3
55,"Cambronero Piqueras, Pablo",01/09/1979,1979,1,9,1
56,"Canales Duque, Mariana de Gracia",01/11/1975,1975,1,11,1
57,"Cantera de Castro, Zaida",06/06/1977,1977,6,6,2
58,"Cañadell Salvia, Concep",21/10/1977,1977,10,21,4
59,"Cañizares Pacheco, Inés María",27/09/1970,1970,9,27,3
60,"Capdevila i Esteve, Joan",12/07/1965,1965,12,7,4
61,"Carazo Hermoso, Eduardo",06/01/1990,1990,6,1,2
62,"Carcedo Roces, María Luisa",30/08/1953,1953,8,30,3
63,"Carrillo de los Reyes, Beatriz Micaela",02/06/1975,1975,2,6,1
64,"Carvalho Dantas, María",21/05/1969,1969,5,21,2
65,"Casado Blanco, Pablo",01/02/1981,1981,1,2,1
66,"Casares Hontañón, Pedro",05/10/1983,1983,5,10,2
67,"Casero Ávila, Alberto",15/11/1978,1978,11,15,4
68,"Castellón Rubio, Miguel Ángel",22/01/1979,1979,1,22,1
69,"Castillo López, Elena",02/10/1976,1976,2,10,1
70,"Cerdán León, Santos",04/05/1969,1969,4,5,2
71,"Cerqueiro González, Javier",20/02/1969,1969,2,20,1
72,"Chamorro Delmo, Ricardo",01/01/1977,1977,1,1,1
73,"Clavell López, Óscar",07/09/1978,1978,7,9,3
74,"Constenla Carbón, Juan Manuel",24/06/1964,1964,6,24,2
75,"Contreras Peláez, Francisco José",17/02/1964,1964,2,17,1
