,short_name,player_positions,overall,nationality_name,age,dob,league_name,height_cm,weight_kg,year,month,day,trimestre
9,H. Kane,ST,90,England,27,1993-07-28,English Premier League,188,89,1993,7,28,3
27,R. Sterling,"LW, RW",88,England,26,1994-12-08,English Premier League,170,69,1994,12,8,4
44,T. Alexander-Arnold,RB,87,England,22,1998-10-07,English Premier League,180,69,1998,10,7,4
45,J. Sancho,"RM, CF, LM",87,England,21,2000-03-25,English Premier League,180,76,2000,3,25,1
60,J. Vardy,ST,86,England,34,1987-01-11,English Premier League,179,74,1987,1,11,1
80,K. Walker,RB,85,England,31,1990-05-28,English Premier League,183,83,1990,5,28,2
94,M. Rashford,"LM, ST",85,England,23,1997-10-31,English Premier League,186,70,1997,10,31,4
102,J. Henderson,"CDM, CM",84,England,31,1990-06-17,English Premier League,182,80,1990,6,17,2
104,K. Trippier,"RB, RWB, RM",84,England,30,1990-09-19,Spain Primera Division,173,69,1990,9,19,3
114,H. Maguire,CB,84,England,28,1993-03-05,English Premier League,194,100,1993,3,5,1
117,L. Shaw,LB,84,England,25,1995-07-12,English Premier League,181,75,1995,7,12,3
118,J. Grealish,"LW, LM, CAM",84,England,25,1995-09-10,English Premier League,180,81,1995,9,10,3
139,P. Foden,"CAM, LW, CM",84,England,21,2000-05-28,English Premier League,171,69,2000,5,28,2
166,J. Stones,CB,83,England,27,1994-05-28,English Premier League,188,76,1994,5,28,2
167,N. Pope,GK,83,England,29,1992-04-19,English Premier League,199,76,1992,4,19,2
169,J. Pickford,GK,83,England,27,1994-03-07,English Premier League,185,77,1994,3,7,1
188,A. Wan-Bissaka,RB,83,England,23,1997-11-26,English Premier League,183,72,1997,11,26,4
193,M. Mount,"CAM, CM, RW",83,England,22,1999-01-10,English Premier League,178,70,1999,1,10,1
252,J. Maddison,"CAM, CM",82,England,24,1996-11-23,English Premier League,175,73,1996,11,23,4
257,J. Gomez,CB,82,England,24,1997-05-23,English Premier League,188,77,1997,5,23,2
264,B. Chilwell,"LWB, LB",82,England,24,1996-12-21,English Premier League,178,77,1996,12,21,4
273,D. Rice,"CDM, CM",82,England,22,1999-01-14,English Premier League,185,80,1999,1,14,1
307,D. Ings,ST,81,England,28,1992-07-23,English Premier League,178,73,1992,7,23,3
320,J. Tarkowski,CB,81,England,28,1992-11-19,English Premier League,188,81,1992,11,19,4
327,J. Ward-Prowse,CM,81,England,26,1994-11-01,English Premier League,173,66,1994,11,1,4
354,D. Calvert-Lewin,ST,81,England,24,1997-03-16,English Premier League,187,71,1997,3,16,1
357,K. Phillips,"CDM, CM, CB",81,England,25,1995-12-02,English Premier League,178,72,1995,12,2,4
376,H. Barnes,"LM, LW",81,England,23,1997-12-09,English Premier League,180,66,1997,12,9,4
379,R. James,"RWB, RB",81,England,21,1999-12-08,English Premier League,178,87,1999,12,8,4
441,M. Keane,CB,80,England,28,1993-01-11,English Premier League,191,82,1993,1,11,1
448,D. Alli,"CAM, CM",80,England,25,1996-04-11,English Premier League,188,80,1996,4,11,2
493,D. Henderson,GK,80,England,24,1997-03-12,English Premier League,188,85,1997,3,12,1
508,B. Saka,"RM, LM, LB",80,England,19,2001-09-05,English Premier League,178,65,2001,9,5,3
510,J. Milner,"CM, LB, RB",79,England,35,1986-01-04,English Premier League,175,70,1986,1,4,1
527,A. Cresswell,"LB, CB",79,England,31,1989-12-15,English Premier League,175,66,1989,12,15,4
528,B. Mee,CB,79,England,31,1989-09-21,English Premier League,180,82,1989,9,21,3
546,C. Wilson,ST,79,England,29,1992-02-27,English Premier League,180,66,1992,2,27,1
549,A. Oxlade-Chamberlain,CM,79,England,27,1993-08-15,English Premier League,175,70,1993,8,15,3
556,C. Coady,CB,79,England,28,1993-02-25,English Premier League,186,80,1993,2,25,1
557,E. Dier,"CB, CDM",79,England,27,1994-01-15,English Premier League,190,90,1994,1,15,1
575,J. Lingard,CAM,79,England,28,1992-12-15,English Premier League,175,60,1992,12,15,4
635,F. Tomori,CB,79,England,23,1997-12-19,Italian Serie A,185,79,1997,12,19,4
661,J. Bellingham,"CM, LM",79,England,18,2003-06-29,German 1. Bundesliga,186,75,2003,6,29,2
665,A. Young,"LWB, LB",78,England,35,1985-07-09,English Premier League,175,65,1985,7,9,3
668,B. Foster,GK,78,England,38,1983-04-03,English Premier League,193,90,1983,4,3,2
699,A. Westwood,"CDM, CM",78,England,31,1990-04-01,English Premier League,175,73,1990,4,1,2
702,C. Smalling,CB,78,England,31,1989-11-22,Italian Serie A,194,81,1989,11,22,4
717,R. Barkley,"CAM, CM",78,England,27,1993-12-05,English Premier League,189,76,1993,12,5,4
722,L. Dunk,CB,78,England,29,1991-11-21,English Premier League,192,88,1991,11,21,4
737,P. Bamford,ST,78,England,27,1993-09-05,English Premier League,185,71,1993,9,5,3
757,T. Mings,CB,78,England,28,1993-03-13,English Premier League,196,77,1993,3,13,1
780,O. Watkins,ST,78,England,25,1995-12-30,English Premier League,180,70,1995,12,30,4
790,J. Bowen,"RM, ST",78,England,24,1996-12-20,English Premier League,175,70,1996,12,20,4
799,M. Cash,RB,78,England,23,1997-08-07,English Premier League,179,74,1997,8,7,3
801,E. Konsa,"CB, RB",78,England,23,1997-10-23,English Premier League,183,77,1997,10,23,4
819,T. Abraham,ST,78,England,23,1997-10-02,Italian Serie A,196,87,1997,10,2,4
823,J. Harrison,"LM, RM",78,England,24,1996-11-20,English Premier League,175,70,1996,11,20,4
855,M. Greenwood,"RM, ST",78,England,19,2001-10-01,English Premier League,181,70,2001,10,1,4
910,C. Dawson,CB,77,England,31,1990-05-06,English Premier League,188,77,1990,5,6,2
911,A. Townsend,"RM, RW",77,England,29,1991-07-16,English Premier League,178,73,1991,7,16,3
915,J. Tavernier,RB,77,England,29,1991-10-31,Scottish Premiership,180,75,1991,10,31,4
924,C. Goldson,CB,77,England,28,1992-12-18,Scottish Premiership,191,85,1992,12,18,4
942,J. Lascelles,CB,77,England,27,1993-11-11,English Premier League,188,83,1993,11,11,4
947,S. Johnstone,GK,77,England,28,1993-03-25,English League Championship,193,85,1993,3,25,1
989,M. Targett,LB,77,England,25,1995-09-18,English Premier League,183,70,1995,9,18,3
1003,H. Winks,"CDM, CM",77,England,25,1996-02-02,English Premier League,176,74,1996,2,2,1
1016,M. Holgate,"CB, RB",77,England,24,1996-10-22,English Premier League,184,75,1996,10,22,4
1019,B. Godfrey,"CB, LB",77,England,23,1998-01-15,English Premier League,183,79,1998,1,15,1
1027,K. Walker-Peters,RB,77,England,24,1997-04-13,English Premier League,174,64,1997,4,13,2
1028,R. Holding,CB,77,England,25,1995-09-20,English Premier League,189,75,1995,9,20,3
1051,A. Lookman,"LM, CAM, ST",77,England,23,1997-10-20,English Premier League,174,71,1997,10,20,4
1057,J. Justin,"LWB, LB",77,England,23,1998-02-23,English Premier League,183,80,1998,2,23,1
1078,E. Eze,"LM, CAM",77,England,23,1998-06-29,English Premier League,178,67,1998,6,29,2
1104,C. Hudson-Odoi,"RW, LW",77,England,20,2000-11-07,English Premier League,178,79,2000,11,7,4
1113,D. McNeil,LM,77,England,21,1999-11-22,English Premier League,183,70,1999,11,22,4
1135,N. Madueke,"RM, ST",77,England,19,2002-03-10,Holland Eredivisie,182,70,2002,3,10,1
1149,T. Heaton,GK,76,England,35,1986-04-15,English Premier League,188,85,1986,4,15,2
1151,T. Walcott,RM,76,England,32,1989-03-16,English Premier League,176,68,1989,3,16,1
1155,R. Bertrand,LB,76,England,31,1989-08-05,English Premier League,179,85,1989,8,5,3
1156,J. Cork,"CDM, CM",76,England,32,1989-06-25,English Premier League,184,75,1989,6,25,2
1169,M. Albrighton,"RM, RWB",76,England,31,1989-11-18,English Premier League,175,74,1989,11,18,4
1174,L. Ayling,"RB, CB",76,England,29,1991-08-25,English Premier League,185,72,1991,8,25,3
1194,K. Darlow,GK,76,England,30,1990-10-08,English Premier League,190,88,1990,10,8,4
1204,N. Redmond,LM,76,England,27,1994-03-06,English Premier League,173,69,1994,3,6,1
1209,M. Lowton,RB,76,England,32,1989-06-09,English Premier League,181,78,1989,6,9,2
1238,C. Taylor,LB,76,England,27,1993-09-18,English Premier League,185,70,1993,9,18,3
1242,R. Fredericks,"RB, RWB",76,England,28,1992-10-10,English Premier League,181,74,1992,10,10,4
1249,I. Hayden,"CDM, CM, CB",76,England,26,1995-03-22,English Premier League,185,79,1995,3,22,1
1253,W. Hughes,"CM, CDM",76,England,26,1995-04-17,English Premier League,185,74,1995,4,17,2
1283,I. Toney,ST,76,England,25,1996-03-16,English Premier League,187,70,1996,3,16,1
1288,J. O'Connell,CB,76,England,27,1994-03-29,English League Championship,191,85,1994,3,29,1
1319,J. Brownhill,"CM, RM",76,England,25,1995-12-19,English Premier League,180,69,1995,12,19,4
1323,A. Armstrong,"ST, LW",76,England,24,1997-02-10,English Premier League,172,69,1997,2,10,1
1337,R. Kent,CF,76,England,24,1996-11-11,Scottish Premiership,172,65,1996,11,11,4
1341,S. Mavididi,"LM, ST",76,England,23,1998-05-31,French Ligue 1,182,71,1998,5,31,2
1385,B. White,"CB, CM",76,England,23,1997-10-08,English Premier League,185,77,1997,10,8,4
1403,M. Edwards,RW,76,England,22,1998-12-03,Portuguese Liga ZON SAGRES,168,65,1998,12,3,4
1421,E. Smith Rowe,CAM,76,England,20,2000-07-28,English Premier League,182,64,2000,7,28,3
1470,M. Noble,"CM, CDM, CAM",75,England,34,1987-05-08,English Premier League,177,76,1987,5,8,2
1484,D. Rose,LB,75,England,30,1990-07-02,English Premier League,174,76,1990,7,2,3
1490,F. Forster,GK,75,England,33,1988-03-17,English Premier League,201,93,1988,3,17,1
1492,J. Tomkins,CB,75,England,32,1989-03-29,English Premier League,192,74,1989,3,29,1
1508,A. Lallana,"CM, CAM, RW",75,England,33,1988-05-10,English Premier League,178,73,1988,5,10,2
1513,F. Delph,"CDM, CM, LB",75,England,31,1989-11-21,English Premier League,174,78,1989,11,21,4
1533,A. Barnes,ST,75,England,31,1989-10-30,English Premier League,186,84,1989,10,30,4
1537,J. Shelvey,"CM, CDM",75,England,29,1992-02-27,English Premier League,184,80,1992,2,27,1
1542,A. McCarthy,GK,75,England,31,1989-12-03,English Premier League,193,79,1989,12,3,4
1552,N. Clyne,RB,75,England,30,1991-04-05,English Premier League,175,67,1991,4,5,2
1580,D. Burn,"CB, LB",75,England,29,1992-05-09,English Premier League,198,87,1992,5,9,2
1636,C. Chambers,"RB, CB",75,England,26,1995-01-20,English Premier League,182,82,1995,1,20,1
1638,S. March,"LWB, RW, RM",75,England,26,1994-07-20,English Premier League,180,77,1994,7,20,3
1641,A. Webster,CB,75,England,26,1995-01-04,English Premier League,191,75,1995,1,4,1
1660,K. Hause,CB,75,England,25,1995-07-16,English Premier League,191,77,1995,7,16,3
1669,J. Swift,"CAM, CM, CDM",75,England,26,1995-06-23,English League Championship,182,73,1995,6,23,2
1685,R. Loftus-Cheek,"RM, CAM",75,England,25,1996-01-23,English Premier League,191,88,1996,1,23,1
1686,B. Pearson,CDM,75,England,26,1995-01-04,English League Championship,176,71,1995,1,4,1
1735,D. Gray,"LW, RW, CAM",75,England,25,1996-06-28,English Premier League,183,75,1996,6,28,2
1771,L. Cook,"CM, CDM",75,England,24,1997-02-03,English League Championship,175,71,1997,2,3,1
1787,T. Cantwell,LM,75,England,23,1998-02-27,English Premier League,177,70,1998,2,27,1
1788,A. Maitland-Niles,"CDM, RB, RWB",75,England,23,1997-08-29,English Premier League,177,71,1997,8,29,3
1818,T. Davies,"CM, CDM",75,England,23,1998-06-30,English Premier League,180,70,1998,6,30,2
1879,R. Sessegnon,"LWB, LM, LB",75,England,21,2000-05-18,English Premier League,178,71,2000,5,18,2
1893,J. Willock,"CAM, CM",75,England,21,1999-08-20,English Premier League,186,76,1999,8,20,3
1909,M. Aarons,RB,75,England,21,2000-01-04,English Premier League,178,69,2000,1,4,1
1914,O. Skipp,"CDM, CM",75,England,20,2000-09-16,English Premier League,178,70,2000,9,16,3
1927,B. Williams,"RB, LB",75,England,20,2000-09-03,English Premier League,182,63,2000,9,3,3
1969,J. Hart,GK,74,England,34,1987-04-19,Scottish Premiership,196,91,1987,4,19,2
1973,G. Cahill,CB,74,England,35,1985-12-19,English League Championship,193,88,1985,12,19,4
1977,J. Rodriguez,ST,74,England,31,1989-07-29,English Premier League,185,84,1989,7,29,3
1991,T. Deeney,ST,74,England,33,1988-06-29,English League Championship,183,90,1988,6,29,2
1995,M. Kelly,"CB, RB",74,England,31,1990-04-27,English Premier League,191,77,1990,4,27,2
1997,C. Basham,CB,74,England,32,1988-07-20,English League Championship,190,80,1988,7,20,3
2000,J. Ward,RB,74,England,31,1989-10-29,English Premier League,188,83,1989,10,29,4
2020,T. Cleverley,"CM, CAM",74,England,31,1989-08-12,English Premier League,175,67,1989,8,12,3
2047,P. Jones,CB,74,England,29,1992-02-21,English Premier League,185,71,1992,2,21,1
2077,J. Stephens,CB,74,England,27,1994-01-27,English Premier League,185,75,1994,1,27,1
2079,J. Bryan,"LB, LWB",74,England,27,1993-09-17,English League Championship,173,75,1993,9,17,3
2097,N. Chalobah,"CDM, CM",74,England,26,1994-12-12,English League Championship,185,80,1994,12,12,4
2098,J. Wallace,"RW, ST, RM",74,England,27,1994-03-26,English League Championship,178,70,1994,3,26,1
2099,H. Reed,"CDM, CM",74,England,26,1995-01-27,English League Championship,175,72,1995,1,27,1
2127,B. Dack,"CAM, CM",74,England,27,1993-12-31,English League Championship,173,71,1993,12,31,4
2135,M. Grimes,"CM, CDM",74,England,25,1995-07-15,English League Championship,178,70,1995,7,15,3
2190,T. Adarabioyo,CB,74,England,23,1997-09-24,English League Championship,196,78,1997,9,24,3
2191,F. Woodman,GK,74,England,24,1997-03-04,English Premier League,190,83,1997,3,4,1
2199,J. Kenny,"RB, RWB",74,England,24,1997-03-15,English Premier League,176,67,1997,3,15,1
2201,R. Henry,"LB, LWB",74,England,23,1997-07-08,English Premier League,170,66,1997,7,8,3
2288,G. Diangana,"LW, LM, RW",74,England,23,1998-04-19,English League Championship,180,73,1998,4,19,2
2289,A. Tuanzebe,CB,74,England,23,1997-11-14,English Premier League,185,75,1997,11,14,4
2307,A. Ramsdale,GK,74,England,23,1998-05-14,English Premier League,188,77,1998,5,14,2
2318,O. Richards,"LB, LWB",74,England,23,1998-02-15,German 1. Bundesliga,174,74,1998,2,15,1
2336,J. Tanganga,"RB, CB, LB",74,England,22,1999-03-31,English Premier League,180,73,1999,3,31,1
2338,E. Nketiah,ST,74,England,22,1999-05-30,English Premier League,175,72,1999,5,30,2
2352,C. Gallagher,CM,74,England,21,2000-02-06,English Premier League,182,74,2000,2,6,1
2379,T. Lamptey,"RWB, RB",74,England,20,2000-09-30,English Premier League,163,62,2000,9,30,3
2390,J. Bogle,"RWB, RB",74,England,20,2000-07-27,English League Championship,178,69,2000,7,27,3
2435,A. Lennon,"RM, LM",73,England,34,1987-04-16,English Premier League,165,63,1987,4,16,2
2440,S. Dann,CB,73,England,34,1987-02-14,English League Championship,190,78,1987,2,14,1
2480,D. Stephens,"CDM, CM",73,England,32,1989-06-12,English Premier League,185,78,1989,6,12,2
2493,D. Welbeck,"ST, LW, LM",73,England,30,1990-11-26,English Premier League,185,73,1990,11,26,4
2497,S. Morrison,CB,73,England,30,1991-01-08,English League Championship,194,84,1991,1,8,1
2506,J. Livermore,"CDM, CM",73,England,31,1989-11-14,English League Championship,180,74,1989,11,14,4
2509,J. Stanislas,"LW, LM, RW",73,England,31,1989-11-26,English League Championship,183,76,1989,11,26,4
2525,A. Smith,"RB, RWB, LWB",73,England,30,1991-04-29,English League Championship,180,78,1991,4,29,2
2541,S. Cook,CB,73,England,30,1991-04-19,English League Championship,185,82,1991,4,19,2
2544,S. Caulker,CB,73,England,29,1991-12-29,Turkish SÃ¼per Lig,191,77,1991,12,29,4
2546,S. Hutchinson,CB,73,England,30,1990-11-23,English League Championship,188,80,1990,11,23,4
2565,D. Bentley,GK,73,England,27,1993-07-13,English League Championship,188,72,1993,7,13,3
2581,G. Baldock,"RWB, RB",73,England,28,1993-03-09,English League Championship,175,67,1993,3,9,1
2598,J. Butland,GK,73,England,28,1993-03-10,English Premier League,196,95,1993,3,10,1
2616,D. Gayle,ST,73,England,30,1990-10-17,English Premier League,174,78,1990,10,17,4
2650,S. Byram,"LB, RB",73,England,27,1993-09-16,English Premier League,183,72,1993,9,16,3
2690,B. Davies,CB,73,England,25,1995-08-11,English League Championship,185,74,1995,8,11,3
2700,A. Mowatt,CM,73,England,26,1995-02-13,English League Championship,177,71,1995,2,13,1
2739,J. Cooper,CB,73,England,26,1995-02-03,English League Championship,199,85,1995,2,3,1
2811,D. Solanke,ST,73,England,23,1997-09-14,English League Championship,187,80,1997,9,14,3
2835,H. Choudhury,"CDM, CM",73,England,23,1997-10-01,English Premier League,178,64,1997,10,1,4
