,short_name,player_positions,overall,nationality_name,age,dob,league_name,height_cm,weight_kg,year,month,day,trimestre
9,H. Kane,ST,90,England,27,1993-07-28,English Premier League,188,89,1993,11,28,4
27,R. Sterling,"LW, RW",88,England,26,1994-12-08,English Premier League,170,69,1994,4,8,2
44,T. Alexander-Arnold,RB,87,England,22,1998-10-07,English Premier League,180,69,1998,2,7,1
45,J. Sancho,"RM, CF, LM",87,England,21,2000-03-25,English Premier League,180,76,2000,7,25,3
60,J. Vardy,ST,86,England,34,1987-01-11,English Premier League,179,74,1987,5,11,2
80,K. Walker,RB,85,England,31,1990-05-28,English Premier League,183,83,1990,9,28,3
94,M. Rashford,"LM, ST",85,England,23,1997-10-31,English Premier League,186,70,1997,2,31,1
102,J. Henderson,"CDM, CM",84,England,31,1990-06-17,English Premier League,182,80,1990,10,17,4
104,K. Trippier,"RB, RWB, RM",84,England,30,1990-09-19,Spain Primera Division,173,69,1990,1,19,1
114,H. Maguire,CB,84,England,28,1993-03-05,English Premier League,194,100,1993,7,5,3
117,L. Shaw,LB,84,England,25,1995-07-12,English Premier League,181,75,1995,11,12,4
118,J. Grealish,"LW, LM, CAM",84,England,25,1995-09-10,English Premier League,180,81,1995,1,10,1
139,P. Foden,"CAM, LW, CM",84,England,21,2000-05-28,English Premier League,171,69,2000,9,28,3
166,J. Stones,CB,83,England,27,1994-05-28,English Premier League,188,76,1994,9,28,3
167,N. Pope,GK,83,England,29,1992-04-19,English Premier League,199,76,1992,8,19,3
169,J. Pickford,GK,83,England,27,1994-03-07,English Premier League,185,77,1994,7,7,3
188,A. Wan-Bissaka,RB,83,England,23,1997-11-26,English Premier League,183,72,1997,3,26,1
193,M. Mount,"CAM, CM, RW",83,England,22,1999-01-10,English Premier League,178,70,1999,5,10,2
252,J. Maddison,"CAM, CM",82,England,24,1996-11-23,English Premier League,175,73,1996,3,23,1
257,J. Gomez,CB,82,England,24,1997-05-23,English Premier League,188,77,1997,9,23,3
264,B. Chilwell,"LWB, LB",82,England,24,1996-12-21,English Premier League,178,77,1996,4,21,2
273,D. Rice,"CDM, CM",82,England,22,1999-01-14,English Premier League,185,80,1999,5,14,2
307,D. Ings,ST,81,England,28,1992-07-23,English Premier League,178,73,1992,11,23,4
320,J. Tarkowski,CB,81,England,28,1992-11-19,English Premier League,188,81,1992,3,19,1
327,J. Ward-Prowse,CM,81,England,26,1994-11-01,English Premier League,173,66,1994,3,1,1
354,D. Calvert-Lewin,ST,81,England,24,1997-03-16,English Premier League,187,71,1997,7,16,3
357,K. Phillips,"CDM, CM, CB",81,England,25,1995-12-02,English Premier League,178,72,1995,4,2,2
376,H. Barnes,"LM, LW",81,England,23,1997-12-09,English Premier League,180,66,1997,4,9,2
379,R. James,"RWB, RB",81,England,21,1999-12-08,English Premier League,178,87,1999,4,8,2
441,M. Keane,CB,80,England,28,1993-01-11,English Premier League,191,82,1993,5,11,2
448,D. Alli,"CAM, CM",80,England,25,1996-04-11,English Premier League,188,80,1996,8,11,3
493,D. Henderson,GK,80,England,24,1997-03-12,English Premier League,188,85,1997,7,12,3
508,B. Saka,"RM, LM, LB",80,England,19,2001-09-05,English Premier League,178,65,2001,1,5,1
510,J. Milner,"CM, LB, RB",79,England,35,1986-01-04,English Premier League,175,70,1986,5,4,2
527,A. Cresswell,"LB, CB",79,England,31,1989-12-15,English Premier League,175,66,1989,4,15,2
528,B. Mee,CB,79,England,31,1989-09-21,English Premier League,180,82,1989,1,21,1
546,C. Wilson,ST,79,England,29,1992-02-27,English Premier League,180,66,1992,6,27,2
549,A. Oxlade-Chamberlain,CM,79,England,27,1993-08-15,English Premier League,175,70,1993,12,15,4
556,C. Coady,CB,79,England,28,1993-02-25,English Premier League,186,80,1993,6,25,2
557,E. Dier,"CB, CDM",79,England,27,1994-01-15,English Premier League,190,90,1994,5,15,2
575,J. Lingard,CAM,79,England,28,1992-12-15,English Premier League,175,60,1992,4,15,2
635,F. Tomori,CB,79,England,23,1997-12-19,Italian Serie A,185,79,1997,4,19,2
661,J. Bellingham,"CM, LM",79,England,18,2003-06-29,German 1. Bundesliga,186,75,2003,10,29,4
665,A. Young,"LWB, LB",78,England,35,1985-07-09,English Premier League,175,65,1985,11,9,4
668,B. Foster,GK,78,England,38,1983-04-03,English Premier League,193,90,1983,8,3,3
699,A. Westwood,"CDM, CM",78,England,31,1990-04-01,English Premier League,175,73,1990,8,1,3
702,C. Smalling,CB,78,England,31,1989-11-22,Italian Serie A,194,81,1989,3,22,1
717,R. Barkley,"CAM, CM",78,England,27,1993-12-05,English Premier League,189,76,1993,4,5,2
722,L. Dunk,CB,78,England,29,1991-11-21,English Premier League,192,88,1991,3,21,1
737,P. Bamford,ST,78,England,27,1993-09-05,English Premier League,185,71,1993,1,5,1
757,T. Mings,CB,78,England,28,1993-03-13,English Premier League,196,77,1993,7,13,3
780,O. Watkins,ST,78,England,25,1995-12-30,English Premier League,180,70,1995,4,30,2
790,J. Bowen,"RM, ST",78,England,24,1996-12-20,English Premier League,175,70,1996,4,20,2
799,M. Cash,RB,78,England,23,1997-08-07,English Premier League,179,74,1997,12,7,4
801,E. Konsa,"CB, RB",78,England,23,1997-10-23,English Premier League,183,77,1997,2,23,1
819,T. Abraham,ST,78,England,23,1997-10-02,Italian Serie A,196,87,1997,2,2,1
823,J. Harrison,"LM, RM",78,England,24,1996-11-20,English Premier League,175,70,1996,3,20,1
855,M. Greenwood,"RM, ST",78,England,19,2001-10-01,English Premier League,181,70,2001,2,1,1
910,C. Dawson,CB,77,England,31,1990-05-06,English Premier League,188,77,1990,9,6,3
911,A. Townsend,"RM, RW",77,England,29,1991-07-16,English Premier League,178,73,1991,11,16,4
915,J. Tavernier,RB,77,England,29,1991-10-31,Scottish Premiership,180,75,1991,2,31,1
924,C. Goldson,CB,77,England,28,1992-12-18,Scottish Premiership,191,85,1992,4,18,2
942,J. Lascelles,CB,77,England,27,1993-11-11,English Premier League,188,83,1993,3,11,1
947,S. Johnstone,GK,77,England,28,1993-03-25,English League Championship,193,85,1993,7,25,3
989,M. Targett,LB,77,England,25,1995-09-18,English Premier League,183,70,1995,1,18,1
1003,H. Winks,"CDM, CM",77,England,25,1996-02-02,English Premier League,176,74,1996,6,2,2
1016,M. Holgate,"CB, RB",77,England,24,1996-10-22,English Premier League,184,75,1996,2,22,1
1019,B. Godfrey,"CB, LB",77,England,23,1998-01-15,English Premier League,183,79,1998,5,15,2
1027,K. Walker-Peters,RB,77,England,24,1997-04-13,English Premier League,174,64,1997,8,13,3
1028,R. Holding,CB,77,England,25,1995-09-20,English Premier League,189,75,1995,1,20,1
1051,A. Lookman,"LM, CAM, ST",77,England,23,1997-10-20,English Premier League,174,71,1997,2,20,1
1057,J. Justin,"LWB, LB",77,England,23,1998-02-23,English Premier League,183,80,1998,6,23,2
1078,E. Eze,"LM, CAM",77,England,23,1998-06-29,English Premier League,178,67,1998,10,29,4
1104,C. Hudson-Odoi,"RW, LW",77,England,20,2000-11-07,English Premier League,178,79,2000,3,7,1
1113,D. McNeil,LM,77,England,21,1999-11-22,English Premier League,183,70,1999,3,22,1
1135,N. Madueke,"RM, ST",77,England,19,2002-03-10,Holland Eredivisie,182,70,2002,7,10,3
1149,T. Heaton,GK,76,England,35,1986-04-15,English Premier League,188,85,1986,8,15,3
1151,T. Walcott,RM,76,England,32,1989-03-16,English Premier League,176,68,1989,7,16,3
1155,R. Bertrand,LB,76,England,31,1989-08-05,English Premier League,179,85,1989,12,5,4
1156,J. Cork,"CDM, CM",76,England,32,1989-06-25,English Premier League,184,75,1989,10,25,4
1169,M. Albrighton,"RM, RWB",76,England,31,1989-11-18,English Premier League,175,74,1989,3,18,1
1174,L. Ayling,"RB, CB",76,England,29,1991-08-25,English Premier League,185,72,1991,12,25,4
1194,K. Darlow,GK,76,England,30,1990-10-08,English Premier League,190,88,1990,2,8,1
1204,N. Redmond,LM,76,England,27,1994-03-06,English Premier League,173,69,1994,7,6,3
1209,M. Lowton,RB,76,England,32,1989-06-09,English Premier League,181,78,1989,10,9,4
1238,C. Taylor,LB,76,England,27,1993-09-18,English Premier League,185,70,1993,1,18,1
1242,R. Fredericks,"RB, RWB",76,England,28,1992-10-10,English Premier League,181,74,1992,2,10,1
1249,I. Hayden,"CDM, CM, CB",76,England,26,1995-03-22,English Premier League,185,79,1995,7,22,3
1253,W. Hughes,"CM, CDM",76,England,26,1995-04-17,English Premier League,185,74,1995,8,17,3
1283,I. Toney,ST,76,England,25,1996-03-16,English Premier League,187,70,1996,7,16,3
1288,J. O'Connell,CB,76,England,27,1994-03-29,English League Championship,191,85,1994,7,29,3
1319,J. Brownhill,"CM, RM",76,England,25,1995-12-19,English Premier League,180,69,1995,4,19,2
1323,A. Armstrong,"ST, LW",76,England,24,1997-02-10,English Premier League,172,69,1997,6,10,2
1337,R. Kent,CF,76,England,24,1996-11-11,Scottish Premiership,172,65,1996,3,11,1
1341,S. Mavididi,"LM, ST",76,England,23,1998-05-31,French Ligue 1,182,71,1998,9,31,3
1385,B. White,"CB, CM",76,England,23,1997-10-08,English Premier League,185,77,1997,2,8,1
1403,M. Edwards,RW,76,England,22,1998-12-03,Portuguese Liga ZON SAGRES,168,65,1998,4,3,2
1421,E. Smith Rowe,CAM,76,England,20,2000-07-28,English Premier League,182,64,2000,11,28,4
1470,M. Noble,"CM, CDM, CAM",75,England,34,1987-05-08,English Premier League,177,76,1987,9,8,3
1484,D. Rose,LB,75,England,30,1990-07-02,English Premier League,174,76,1990,11,2,4
1490,F. Forster,GK,75,England,33,1988-03-17,English Premier League,201,93,1988,7,17,3
1492,J. Tomkins,CB,75,England,32,1989-03-29,English Premier League,192,74,1989,7,29,3
1508,A. Lallana,"CM, CAM, RW",75,England,33,1988-05-10,English Premier League,178,73,1988,9,10,3
1513,F. Delph,"CDM, CM, LB",75,England,31,1989-11-21,English Premier League,174,78,1989,3,21,1
1533,A. Barnes,ST,75,England,31,1989-10-30,English Premier League,186,84,1989,2,30,1
1537,J. Shelvey,"CM, CDM",75,England,29,1992-02-27,English Premier League,184,80,1992,6,27,2
1542,A. McCarthy,GK,75,England,31,1989-12-03,English Premier League,193,79,1989,4,3,2
1552,N. Clyne,RB,75,England,30,1991-04-05,English Premier League,175,67,1991,8,5,3
1580,D. Burn,"CB, LB",75,England,29,1992-05-09,English Premier League,198,87,1992,9,9,3
1636,C. Chambers,"RB, CB",75,England,26,1995-01-20,English Premier League,182,82,1995,5,20,2
