,short_name,player_positions,overall,nationality_name,age,dob,league_name,height_cm,weight_kg,year,month,day,trimestre
6,K. MbappÃ©,"ST, LW",91,France,22,1998-12-20,French Ligue 1,182,73,1998,12,20,4
10,N. KantÃ©,"CDM, CM",90,France,30,1991-03-29,English Premier League,168,70,1991,3,29,1
11,K. Benzema,"CF, ST",89,France,33,1987-12-19,Spain Primera Division,185,81,1987,12,19,4
31,H. Lloris,GK,87,France,34,1986-12-26,English Premier League,188,82,1986,12,26,4
37,P. Pogba,"CM, LM",87,France,28,1993-03-15,English Premier League,191,84,1993,3,15,1
57,R. Varane,CB,86,France,28,1993-04-25,English Premier League,191,81,1993,4,25,2
64,K. Coman,"LM, RM, LW",86,France,25,1996-06-13,German 1. Bundesliga,180,76,1996,6,13,2
83,A. Griezmann,"ST, LW, RW",85,France,30,1991-03-21,Spain Primera Division,176,73,1991,3,21,1
110,W. Ben Yedder,ST,84,France,30,1990-08-12,French Ligue 1,170,68,1990,8,12,3
111,L. Digne,LB,84,France,27,1993-07-20,English Premier League,178,74,1993,7,20,3
127,M. Maignan,GK,84,France,25,1995-07-03,Italian Serie A,191,89,1995,7,3,3
131,N. Fekir,"CAM, RM, ST",84,France,27,1993-07-18,Spain Primera Division,173,75,1993,7,18,3
137,T. HernÃ¡ndez,LB,84,France,23,1997-10-06,Italian Serie A,184,81,1997,10,6,4
175,T. Lemar,"LM, CM, RM",83,France,25,1995-11-12,Spain Primera Division,171,66,1995,11,12,4
181,L. HernÃ¡ndez,"LB, CB",83,France,25,1996-02-14,German 1. Bundesliga,184,79,1996,2,14,1
186,P. Kimpembe,CB,83,France,25,1995-08-13,French Ligue 1,189,80,1995,8,13,3
187,F. Mendy,LB,83,France,26,1995-06-08,Spain Primera Division,180,73,1995,6,8,2
192,O. DembÃ©lÃ©,RW,83,France,24,1997-05-15,Spain Primera Division,178,67,1997,5,15,2
197,J. KoundÃ©,CB,83,France,22,1998-11-12,Spain Primera Division,181,75,1998,11,12,4
216,A. Areola,GK,82,France,28,1993-02-27,English Premier League,195,94,1993,2,27,1
218,A. Lacazette,ST,82,France,30,1991-05-28,English Premier League,175,73,1991,5,28,2
229,J. Veretout,"CDM, CM",82,France,28,1993-03-01,Italian Serie A,177,67,1993,3,1,1
251,C. Lenglet,CB,82,France,26,1995-06-17,Spain Primera Division,186,81,1995,6,17,2
261,D. Upamecano,CB,82,France,22,1998-10-27,German 1. Bundesliga,186,90,1998,10,27,4
277,T. Ndombele,"CAM, CM, CDM",82,France,24,1996-12-28,English Premier League,179,76,1996,12,28,4
287,A. Gignac,"ST, CF",81,France,35,1985-12-05,Mexican Liga MX,189,85,1985,12,5,4
290,S. Mandanda,GK,81,France,36,1985-03-28,French Ligue 1,185,82,1985,3,28,1
