,short_name,player_positions,overall,nationality_name,age,dob,league_name,height_cm,weight_kg,year,month,day,trimestre
7,M. Neuer,GK,90,Germany,35,1986-03-27,German 1. Bundesliga,193,93,1986,3,27,1
8,M. ter Stegen,GK,90,Germany,29,1992-04-30,Spain Primera Division,187,85,1992,4,30,2
19,J. Kimmich,"CDM, RB",89,Germany,26,1995-02-08,German 1. Bundesliga,177,75,1995,2,8,1
24,T. Kroos,CM,88,Germany,31,1990-01-04,Spain Primera Division,183,76,1990,1,4,1
35,T. MÃ¼ller,"CAM, RM, RW",87,Germany,31,1989-09-13,German 1. Bundesliga,185,76,1989,9,13,3
40,L. Goretzka,"CM, CDM",87,Germany,26,1995-02-06,German 1. Bundesliga,189,82,1995,2,6,1
49,M. Hummels,CB,86,Germany,32,1988-12-16,German 1. Bundesliga,191,96,1988,12,16,4
78,Ä°. GÃ¼ndoÄan,"CM, CDM",85,Germany,30,1990-10-24,English Premier League,180,80,1990,10,24,4
79,M. Reus,"CAM, CF",85,Germany,32,1989-05-31,German 1. Bundesliga,180,71,1989,5,31,2
89,S. Gnabry,"RM, LM, RW",85,Germany,25,1995-07-14,German 1. Bundesliga,176,77,1995,7,14,3
119,M. Ginter,CB,84,Germany,27,1994-01-19,German 1. Bundesliga,191,86,1994,1,19,1
126,T. Werner,"ST, LW",84,Germany,25,1996-03-06,English Premier League,180,76,1996,3,6,1
132,L. SanÃ©,"RM, LM",84,Germany,25,1996-01-11,German 1. Bundesliga,183,80,1996,1,11,1
138,K. Havertz,"CAM, CF, CM",84,Germany,22,1999-06-11,English Premier League,188,82,1999,6,11,2
146,J. Boateng,CB,83,Germany,32,1988-09-03,French Ligue 1,190,94,1988,9,3,3
154,B. Leno,GK,83,Germany,29,1992-03-04,English Premier League,190,83,1992,3,4,1
162,K. Volland,"ST, CF",83,Germany,28,1992-07-30,French Ligue 1,179,85,1992,7,30,3
170,A. RÃ¼diger,CB,83,Germany,28,1993-03-03,English Premier League,190,85,1993,3,3,1
184,R. Gosens,"LWB, LB, LM",83,Germany,26,1994-07-05,Italian Serie A,183,76,1994,7,5,3
