,short_name,player_positions,overall,nationality_name,age,dob,league_name,height_cm,weight_kg,year,month,day,trimestre
21,G. Donnarumma,GK,89,Italy,22,1999-02-25,French Ligue 1,196,90,1999,2,25,1
36,C. Immobile,ST,87,Italy,31,1990-02-20,Italian Serie A,185,85,1990,2,20,1
38,M. Verratti,"CM, CAM",87,Italy,28,1992-11-05,French Ligue 1,165,60,1992,11,5,4
47,G. Chiellini,CB,86,Italy,36,1984-08-14,Italian Serie A,187,85,1984,8,14,3
55,L. Insigne,"LW, CF",86,Italy,30,1991-06-04,Italian Serie A,163,59,1991,6,4,2
76,L. Bonucci,CB,85,Italy,34,1987-05-01,Italian Serie A,190,85,1987,5,1,2
88,Jorginho,"CM, CDM",85,Italy,29,1991-12-20,English Premier League,180,68,1991,12,20,4
133,N. Barella,CM,84,Italy,24,1997-02-07,Italian Serie A,172,68,1997,2,7,1
160,F. Acerbi,CB,83,Italy,33,1988-02-10,Italian Serie A,192,88,1988,2,10,1
165,L. Spinazzola,"LWB, LB, LM",83,Italy,28,1993-03-25,Italian Serie A,186,75,1993,3,25,1
195,F. Chiesa,"RW, LW, RM",83,Italy,23,1997-10-25,Italian Serie A,175,70,1997,10,25,4
202,S. Sirigu,GK,82,Italy,34,1987-01-12,Italian Serie A,192,85,1987,1,12,1
240,A. Romagnoli,CB,82,Italy,26,1995-01-12,Italian Serie A,185,75,1995,1,12,1
241,D. Berardi,"RW, RM",82,Italy,26,1994-08-01,Italian Serie A,183,72,1994,8,1,3
243,P. Gollini,GK,82,Italy,26,1995-03-18,English Premier League,194,94,1995,3,18,1
253,M. Locatelli,"CDM, CM",82,Italy,23,1998-01-08,Italian Serie A,185,75,1998,1,8,1
289,A. Consigli,GK,81,Italy,34,1987-01-27,Italian Serie A,189,82,1987,1,27,1
321,A. Florenzi,"RB, RWB",81,Italy,30,1991-03-11,Italian Serie A,173,67,1991,3,11,1
328,A. Cragno,GK,81,Italy,27,1994-06-28,Italian Serie A,184,78,1994,6,28,2
334,A. Belotti,ST,81,Italy,27,1993-12-20,Italian Serie A,181,84,1993,12,20,4
348,M. Politano,"RM, RW",81,Italy,27,1993-08-03,Italian Serie A,171,67,1993,8,3,3
365,L. Pellegrini,"CAM, CM, CDM",81,Italy,25,1996-06-19,Italian Serie A,186,77,1996,6,19,2
378,M. Lazzari,RWB,81,Italy,27,1993-11-29,Italian Serie A,174,67,1993,11,29,4
388,G. Buffon,GK,80,Italy,43,1978-01-28,Italian Serie B,192,92,1978,1,28,1
404,A. Ogbonna,CB,80,Italy,33,1988-05-23,English Premier League,191,86,1988,5,23,2
408,Rafael TolÃ³i,CB,80,Italy,30,1990-10-10,Italian Serie A,185,75,1990,10,10,4
417,M. Perin,GK,80,Italy,28,1992-11-10,Italian Serie A,188,77,1992,11,10,4
457,G. Di Lorenzo,RB,80,Italy,27,1993-08-04,Italian Serie A,183,83,1993,8,4,3
481,G. Mancini,"CB, CDM",80,Italy,25,1996-04-17,Italian Serie A,190,77,1996,4,17,2
482,S. Sensi,"CM, CDM",80,Italy,25,1995-08-05,Italian Serie A,168,62,1995,8,5,3
498,A. Bastoni,CB,80,Italy,22,1999-04-13,Italian Serie A,190,75,1999,4,13,2
516,A. Candreva,"RM, RWB",79,Italy,34,1987-02-28,Italian Serie A,180,70,1987,2,28,1
532,M. Silvestri,GK,79,Italy,30,1991-03-02,Italian Serie A,191,80,1991,3,2,1
533,S. El Shaarawy,"LW, LM",79,Italy,28,1992-10-27,Italian Serie A,178,73,1992,10,27,4
550,D. D'Ambrosio,"CB, RB",79,Italy,32,1988-09-09,Italian Serie A,180,75,1988,9,9,3
588,V. Grifo,"LM, CF",79,Italy,28,1993-04-07,German 1. Bundesliga,180,76,1993,4,7,2
590,F. Bernardeschi,"CAM, LM, RM",79,Italy,27,1994-02-16,Italian Serie A,185,77,1994,2,16,1
594,A. Izzo,CB,79,Italy,29,1992-03-02,Italian Serie A,183,81,1992,3,2,1
595,D. Zappacosta,"RWB, RM, LM",79,Italy,29,1992-06-11,Italian Serie A,182,75,1992,6,11,2
614,A. Meret,GK,79,Italy,24,1997-03-22,Italian Serie A,190,83,1997,3,22,1
645,M. Kean,ST,79,Italy,21,2000-02-28,Italian Serie A,182,72,2000,2,28,1
667,F. Quagliarella,ST,78,Italy,38,1983-01-31,Italian Serie A,180,79,1983,1,31,1
690,M. Darmian,"RWB, LWB, RB",78,Italy,31,1989-12-02,Italian Serie A,182,70,1989,12,2,4
697,F. Caputo,ST,78,Italy,33,1987-08-06,Italian Serie A,181,74,1987,8,6,3
698,G. Bonaventura,"CM, CAM",78,Italy,31,1989-08-22,Italian Serie A,181,75,1989,8,22,3
709,R. Soriano,"CAM, CM",78,Italy,30,1991-02-08,Italian Serie A,182,76,1991,2,8,1
741,B. Cristante,"CDM, CB, CM",78,Italy,26,1995-03-03,Italian Serie A,186,80,1995,3,3,1
751,Emerson,"LB, LWB",78,Italy,26,1994-08-03,French Ligue 1,176,79,1994,8,3,3
804,E. Audero,GK,78,Italy,24,1997-01-18,Italian Serie A,192,83,1997,1,18,1
805,D. Calabria,RB,78,Italy,24,1996-12-06,Italian Serie A,177,70,1996,12,6,4
833,N. Zaniolo,"CAM, RM",78,Italy,21,1999-07-02,Italian Serie A,190,79,1999,7,2,3
838,M. Pessina,"CAM, CM, CF",78,Italy,24,1997-04-21,Italian Serie A,183,75,1997,4,21,2
914,M. Faraoni,"RWB, RB, RM",77,Italy,29,1991-10-25,Italian Serie A,180,71,1991,10,25,4
917,D. Caligiuri,"RM, RWB, CM",77,Italy,33,1988-01-15,German 1. Bundesliga,182,80,1988,1,15,1
962,D. Rugani,CB,77,Italy,26,1994-07-29,Italian Serie A,190,84,1994,7,29,3
967,R. Gagliardini,"CDM, CM",77,Italy,27,1994-04-07,Italian Serie A,188,77,1994,4,7,2
998,M. Zaccagni,"CF, ST",77,Italy,26,1995-06-16,Italian Serie A,177,63,1995,6,16,2
1015,G. Castrovilli,CM,77,Italy,24,1997-02-17,Italian Serie A,179,72,1997,2,17,1
1106,S. Tonali,"CDM, CM",77,Italy,21,2000-05-08,Italian Serie A,181,79,2000,5,8,2
1150,A. Diamanti,"CAM, RW",76,Italy,38,1983-05-02,Australian Hyundai A-League,180,75,1983,5,2,2
1157,L. De Silvestri,"RB, RM",76,Italy,33,1988-05-23,Italian Serie A,186,84,1988,5,23,2
1161,D. Criscito,"CB, LB, LM",76,Italy,34,1986-12-30,Italian Serie A,183,75,1986,12,30,4
1176,F. Borini,"LW, LM, CF",76,Italy,30,1991-03-23,Turkish SÃ¼per Lig,180,73,1991,3,23,1
1178,M. Balotelli,ST,76,Italy,30,1990-08-12,Turkish SÃ¼per Lig,190,94,1990,8,12,3
1219,C. Biraghi,"LWB, LB, LM",76,Italy,28,1992-09-01,Italian Serie A,185,78,1992,9,1,3
1221,N. Sansone,"CAM, LW, ST",76,Italy,29,1991-09-10,Italian Serie A,173,63,1991,9,10,3
1228,S. Zaza,ST,76,Italy,30,1991-06-25,Italian Serie A,186,78,1991,6,25,2
1244,D. Baselli,CM,76,Italy,29,1992-03-12,Italian Serie A,182,75,1992,3,12,1
1248,M. De Sciglio,"RB, LB",76,Italy,28,1992-10-20,Italian Serie A,182,78,1992,10,20,4
1306,A. Petagna,ST,76,Italy,26,1995-06-30,Italian Serie A,190,85,1995,6,30,2
1309,M. Sportiello,GK,76,Italy,29,1992-05-10,Italian Serie A,192,87,1992,5,10,2
1317,M. Caldara,CB,76,Italy,27,1994-05-05,Italian Serie A,187,80,1994,5,5,2
1330,A. Conti,"RB, RM",76,Italy,27,1994-03-02,Italian Serie A,184,76,1994,3,2,1
1347,F. Dimarco,"LWB, LB, CB",76,Italy,23,1997-11-10,Italian Serie A,175,75,1997,11,10,4
1390,R. Orsolini,"CAM, RW",76,Italy,24,1997-01-24,Italian Serie A,183,73,1997,1,24,1
1469,F. Magnanelli,CDM,75,Italy,36,1984-11-12,Italian Serie A,181,79,1984,11,12,4
1502,S. Okaka,ST,75,Italy,31,1989-08-09,Turkish SÃ¼per Lig,186,90,1989,8,9,3
1524,A. Poli,"CDM, CM",75,Italy,31,1989-09-29,Turkish SÃ¼per Lig,182,77,1989,9,29,3
1577,S. Verdi,"CF, CAM",75,Italy,28,1992-07-12,Italian Serie A,174,72,1992,7,12,3
1585,M. Gabbiadini,ST,75,Italy,29,1991-11-26,Italian Serie A,181,75,1991,11,26,4
1601,R. Saponara,"CAM, CF",75,Italy,29,1991-12-21,Italian Serie A,184,73,1991,12,21,4
1606,C. Piccini,"RB, RWB",75,Italy,28,1992-09-26,Spain Primera Division,189,86,1992,9,26,3
1610,G. Caprari,"CF, ST",75,Italy,27,1993-07-30,Italian Serie A,176,72,1993,7,30,3
1630,V. Verre,"CAM, CF, CM",75,Italy,27,1994-01-11,Italian Serie A,181,70,1994,1,11,1
1631,L. Pavoletti,ST,75,Italy,32,1988-11-26,Italian Serie A,188,85,1988,11,26,4
1687,F. Di Francesco,"CF, LW, ST",75,Italy,27,1994-06-14,Italian Serie A,171,75,1994,6,14,2
1782,R. Mandragora,"CM, CDM",75,Italy,24,1997-06-29,Italian Serie A,183,75,1997,6,29,2
1921,G. Magnani,CB,75,Italy,25,1995-10-04,Italian Serie A,191,87,1995,10,4,4
1989,A. Ranocchia,CB,74,Italy,33,1988-02-16,Italian Serie A,195,81,1988,2,16,1
2019,D. Santon,"RWB, RB",74,Italy,30,1991-01-02,Italian Serie A,187,77,1991,1,2,1
2030,A. Bertolacci,"CM, CDM",74,Italy,30,1991-01-11,Turkish SÃ¼per Lig,179,72,1991,1,11,1
2038,M. Destro,ST,74,Italy,30,1991-03-20,Italian Serie A,182,80,1991,3,20,1
