,short_name,player_positions,overall,nationality_name,age,dob,height_cm,weight_kg,year,month,day,trimestre
1,W. Renard,CB,92,France,30,1990-07-20,187,70,1990,7,20,3
3,S. Kerr,"ST, LW",91,Australia,27,1993-09-10,167,55,1993,9,10,3
5,D. MarozsÃ¡n,"CAM, LM, CM",90,Germany,29,1992-04-18,171,67,1992,4,18,2
8,C. Hansen,"RM, CAM, ST",90,Norway,26,1995-02-18,178,66,1995,2,18,1
9,A. Henry,"CDM, CM",90,France,31,1989-09-28,171,64,1989,9,28,3
11,C. Sinclair,"ST, CAM",89,Canada,38,1983-06-12,175,67,1983,6,12,2
12,E. Le Sommer,"ST, LW, CAM",89,France,32,1989-05-18,161,58,1989,5,18,2
15,A. Popp,"ST, LM",88,Germany,30,1991-04-06,174,65,1991,4,6,2
17,Jenni Hermoso,"ST, CAM, CF",87,Spain,31,1990-05-09,174,59,1990,5,9,2
18,S. DÃ¤britz,"CM, LM, CAM",87,Germany,26,1995-02-15,171,59,1995,2,15,1
19,A. Majri,"LM, LB",87,France,28,1993-01-25,164,54,1993,1,25,1
26,N. Fischer,CB,86,Sweden,36,1984-08-02,176,68,1984,8,2,3
27,C. Seger,"CM, CDM",86,Sweden,36,1985-03-19,176,62,1985,3,19,1
28,S. Bouhaddi,GK,86,France,34,1986-10-17,175,69,1986,10,17,4
31,M. Eriksson,"LB, CB",85,Sweden,27,1993-09-08,172,66,1993,9,8,3
32,Alexia Putellas,"LM, RM, CM",85,Spain,27,1994-02-04,175,66,1994,2,4,1
35,I. Engen,"CM, CDM",85,Norway,23,1998-04-29,177,65,1998,4,29,2
37,K. Asllani,"CAM, CM, ST",84,Sweden,31,1989-07-29,166,57,1989,7,29,3
38,L. Benkarth,GK,84,Germany,28,1992-10-14,173,68,1992,10,14,4
39,S. Huth,"RM, ST, LM",84,Germany,30,1991-01-25,163,54,1991,1,25,1
40,K. Buchanan,CB,84,Canada,25,1995-11-05,170,65,1995,11,5,4
41,D. Cascarino,"RM, RW",84,France,24,1997-02-05,165,57,1997,2,5,1
42,A. Erceg,CB,84,New Zealand,31,1989-11-20,177,68,1989,11,20,4
43,S. Blackstenius,ST,84,Sweden,25,1996-02-05,174,72,1996,2,5,1
45,L. Magull,"CM, CAM",84,Germany,26,1994-08-15,166,54,1994,8,15,3
46,G. Gwinn,"RM, CAM, RB",84,Germany,21,1999-07-02,170,56,1999,7,2,3
47,L. Oberdorf,"CB, CDM",84,Germany,19,2001-12-19,174,55,2001,12,19,4
48,S. Jakobsson,"RW, ST, LW",83,Sweden,31,1990-04-23,174,62,1990,4,23,2
49,H. Lindahl,GK,83,Sweden,38,1983-04-29,179,74,1983,4,29,2
50,F. RolfÃ¶,"LW, RW",83,Sweden,27,1993-11-24,178,65,1993,11,24,4
51,Irene Paredes,CB,83,Spain,29,1991-07-04,177,62,1991,7,4,3
53,M. Mjelde,"CB, RB",83,Norway,31,1989-11-06,166,63,1989,11,6,4
54,G. Mbock,CB,83,France,26,1995-02-26,172,64,1995,2,26,1
55,K. Diani,"RM, RW, ST",83,France,26,1995-04-01,168,64,1995,4,1,2
56,S. Schmidt,"CM, CDM, CB",83,Canada,33,1988-06-28,172,71,1988,6,28,2
57,K. Robles,RB,83,Mexico,30,1991-02-15,161,59,1991,2,15,1
64,M. Katoto,ST,83,France,22,1998-11-01,176,66,1998,11,1,4
66,M. Leupolz,"CM, CDM",82,Germany,27,1994-04-14,173,52,1994,4,14,2
67,K. Hendrich,"RB, CB",82,Germany,29,1992-04-06,174,55,1992,4,6,2
68,Wu Haiyan,"CB, RB",82,China PR,28,1993-02-26,166,58,1993,2,26,1
69,C. Foord,"RW, LW, ST",82,Australia,26,1994-11-11,165,61,1994,11,11,4
70,S. Catley,"LB, CB",82,Australia,27,1994-01-26,171,60,1994,1,26,1
72,K. Minde,"LB, LM",82,Norway,28,1992-08-08,169,64,1992,8,8,3
73,L. Maier,"RB, LB",82,Germany,28,1992-09-29,163,62,1992,9,29,3
74,G. Reiten,"LM, CAM, ST",82,Norway,26,1994-07-26,167,60,1994,7,26,3
75,A. Lawrence,"RB, CM, LB",82,Canada,26,1995-06-11,164,58,1995,6,11,2
76,D. Scott,"CDM, CM",82,Canada,33,1987-07-31,154,65,1987,7,31,3
80,L. Dallmann,"CAM, LM, CF",82,Germany,26,1994-09-02,158,51,1994,9,2,3
81,E. Carpenter,RB,82,Australia,21,2000-04-28,165,60,2000,4,28,2
85,M. Frohms,GK,82,Germany,26,1995-01-28,175,60,1995,1,28,1
86,K. BÃ¼hl,"ST, RM",82,Germany,20,2000-12-07,172,65,2000,12,7,4
87,A. Berger,GK,82,Germany,30,1990-10-09,180,63,1990,10,9,4
88,E. Haavi,"LM, RM",81,Norway,29,1992-06-16,164,59,1992,6,16,2
89,L. Williams,GK,81,Australia,33,1988-05-13,175,63,1988,5,13,2
90,Sandra PaÃ±os,GK,81,Spain,28,1992-11-04,169,65,1992,11,4,4
91,Mapi LeÃ³n,"CB, LB",81,Spain,26,1995-06-13,169,61,1995,6,13,2
92,H. Glas,"RB, RWB, CB",81,Sweden,28,1993-04-16,172,64,1993,4,16,2
93,L. SchÃ¼ller,ST,81,Germany,23,1997-11-12,173,62,1997,11,12,4
97,S. Lohmann,"CAM, CM",81,Germany,21,2000-06-19,174,64,2000,6,19,2
98,M. Hegering,CB,81,Germany,31,1990-04-17,170,59,1990,4,17,2
