,Full Name,Birth_date,Sex,Birth Country,Category,year,month,day,trimestre
0,Jacobus Henricus van 't Hoff,1852-08-30,Male,Netherlands,Chemistry,1852,8,30,3
2,Emil Adolf von Behring,1854-03-15,Male,Prussia (Poland),Medicine,1854,3,15,1
5,Wilhelm Conrad RÃ¶ntgen,1845-03-27,Male,Prussia (Germany),Physics,1845,3,27,1
6,Hermann Emil Fischer,1852-10-09,Male,Prussia (Germany),Chemistry,1852,10,9,4
8,Ronald Ross,1857-05-13,Male,India,Medicine,1857,5,13,2
12,Pieter Zeeman,1865-05-25,Male,Netherlands,Physics,1865,5,25,2
13,Svante August Arrhenius,1859-02-19,Male,Sweden,Chemistry,1859,2,19,1
15,Niels Ryberg Finsen,1860-12-15,Male,Faroe Islands (Denmark),Medicine,1860,12,15,4
18,Pierre Curie,1859-05-15,Male,France,Physics,1859,5,15,2
20,Sir William Ramsay,1852-10-02,Male,Scotland,Chemistry,1852,10,2,4
23,Ivan Petrovich Pavlov,1849-09-14,Male,Russia,Medicine,1849,9,14,3
26,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Male,Prussia (Germany),Chemistry,1835,10,31,4
28,Robert Koch,1843-12-11,Male,Germany,Medicine,1843,12,11,4
30,Philipp Eduard Anton von Lenard,1862-06-07,Male,Hungary (Slovakia),Physics,1862,6,7,2
31,Henri Moissan,1852-09-28,Male,France,Chemistry,1852,9,28,3
33,Camillo Golgi,1843-07-07,Male,Italy,Medicine,1843,7,7,3
34,Santiago RamÃ³n y Cajal,1852-05-01,Male,Spain,Medicine,1852,5,1,2
37,Eduard Buchner,1860-05-20,Male,Bavaria (Germany),Chemistry,1860,5,20,2
39,Charles Louis Alphonse Laveran,1845-06-18,Male,France,Medicine,1845,6,18,2
42,Albert Abraham Michelson,1852-12-19,Male,Prussia (Poland),Physics,1852,12,19,4
43,Ernest Rutherford,1871-08-30,Male,New Zealand,Chemistry,1871,8,30,3
45,Ilya Ilyich Mechnikov,1845-05-15,Male,Russian Empire (Ukraine),Medicine,1845,5,15,2
46,Paul Ehrlich,1854-03-14,Male,Prussia (Poland),Medicine,1854,3,14,1
47,Paul Ehrlich,1854-03-14,Male,Prussia (Poland),Medicine,1854,3,14,1
51,Wilhelm Ostwald,1853-09-02,Male,Russian Empire (Latvia),Chemistry,1853,9,2,3
53,Emil Theodor Kocher,1841-08-25,Male,Switzerland,Medicine,1841,8,25,3
56,Guglielmo Marconi,1874-04-25,Male,Italy,Physics,1874,4,25,2
57,Karl Ferdinand Braun,1850-06-06,Male,Hesse-Kassel (Germany),Physics,1850,6,6,2
58,Otto Wallach,1847-03-27,Male,Germany (Russia),Chemistry,1847,3,27,1
60,Albrecht Kossel,1853-09-16,Male,Mecklenburg (Germany),Medicine,1853,9,16,3
62,Johannes Diderik van der Waals,1837-11-23,Male,Netherlands,Physics,1837,11,23,4
63,"Marie Curie, nÃ©e Sklodowska",1867-11-07,Female,Russian Empire (Poland),Chemistry,1867,11,7,4
65,Allvar Gullstrand,1862-06-05,Male,Sweden,Medicine,1862,6,5,2
68,Wilhelm Wien,1864-01-13,Male,Prussia (Russia),Physics,1864,1,13,1
69,Victor Grignard,1871-05-06,Male,France,Chemistry,1871,5,6,2
70,Paul Sabatier,1854-11-05,Male,France,Chemistry,1854,11,5,4
72,Alexis Carrel,1873-06-28,Male,France,Medicine,1873,6,28,2
74,Nils Gustaf DalÃ©n,1869-11-30,Male,Sweden,Physics,1869,11,30,4
75,Alfred Werner,1866-12-12,Male,France,Chemistry,1866,12,12,4
77,Charles Robert Richet,1850-08-26,Male,France,Medicine,1850,8,26,3
79,Heike Kamerlingh Onnes,1853-09-21,Male,Netherlands,Physics,1853,9,21,3
81,Robert BÃ¡rÃ¡ny,1876-04-22,Male,Austria,Medicine,1876,4,22,2
82,Max von Laue,1879-10-09,Male,Germany,Physics,1879,10,9,4
83,Richard Martin WillstÃ¤tter,1872-08-13,Male,Germany,Chemistry,1872,8,13,3
86,William Lawrence Bragg,1890-03-31,Male,Australia,Physics,1890,3,31,1
92,Fritz Haber,1868-12-09,Male,Prussia (Poland),Chemistry,1868,12,9,4
93,Max Karl Ernst Ludwig Planck,1858-04-23,Male,Schleswig (Germany),Physics,1858,4,23,2
95,Jules Bordet,1870-06-13,Male,Belgium,Medicine,1870,6,13,2
97,Johannes Stark,1874-04-15,Male,Germany,Physics,1874,4,15,2
98,Walther Hermann Nernst,1864-06-25,Male,Prussia (Germany),Chemistry,1864,6,25,2
100,Schack August Steenberg Krogh,1874-11-15,Male,Denmark,Medicine,1874,11,15,4
102,Charles Edouard Guillaume,1861-02-15,Male,Switzerland,Physics,1861,2,15,1
107,Albert Einstein,1879-03-14,Male,Germany,Physics,1879,3,14,1
111,Otto Fritz Meyerhof,1884-04-12,Male,Germany,Medicine,1884,4,12,2
113,Niels Henrik David Bohr,1885-10-07,Male,Denmark,Physics,1885,10,7,4
114,Fritz Pregl,1869-09-03,Male,Austria-Hungary (Slovenia),Chemistry,1869,9,3,3
116,Frederick Grant Banting,1891-11-14,Male,Canada,Medicine,1891,11,14,4
117,John James Rickard Macleod,1876-09-06,Male,Scotland,Medicine,1876,9,6,3
120,Willem Einthoven,1860-05-21,Male,"Java, Dutch East Indies (Indonesia)",Medicine,1860,5,21,2
121,Karl Manne Georg Siegbahn,1886-12-03,Male,Sweden,Physics,1886,12,3,4
122,Richard Adolf Zsigmondy,1865-04-01,Male,Austrian Empire (Austria),Chemistry,1865,4,1,2
126,James Franck,1882-08-26,Male,Germany,Physics,1882,8,26,3
127,Gustav Ludwig Hertz,1887-07-22,Male,Germany,Physics,1887,7,22,3
128,The (Theodor) Svedberg,1884-08-30,Male,Sweden,Chemistry,1884,8,30,3
130,Johannes Andreas Grib Fibiger,1867-04-23,Male,Denmark,Medicine,1867,4,23,2
133,Jean Baptiste Perrin,1870-09-30,Male,France,Physics,1870,9,30,3
134,Heinrich Otto Wieland,1877-06-04,Male,Germany,Chemistry,1877,6,4,2
136,Julius Wagner-Jauregg,1857-03-07,Male,Austria,Medicine,1857,3,7,1
140,Charles Thomson Rees Wilson,1869-02-14,Male,Scotland,Physics,1869,2,14,1
141,Adolf Otto Reinhold Windaus,1876-12-25,Male,Germany,Chemistry,1876,12,25,4
146,Hans Karl August Simon von Euler-Chelpin,1873-02-15,Male,Germany,Chemistry,1873,2,15,1
148,Christiaan Eijkman,1858-08-11,Male,Netherlands,Medicine,1858,8,11,3
151,Prince Louis-Victor Pierre Raymond de Broglie,1892-08-15,Male,France,Physics,1892,8,15,3
152,Hans Fischer,1881-07-27,Male,Germany,Chemistry,1881,7,27,3
154,Karl Landsteiner,1868-06-14,Male,Austrian Empire (Austria),Medicine,1868,6,14,2
