,surname,dob,year,month,day,Deporte,trimestre
1,Heidfeld,1977-05-10,1977,5,10,Formula-1,2
2,Rosberg,1985-06-27,1985,6,27,Formula-1,2
3,Alonso,1981-07-29,1981,7,29,Formula-1,3
4,Kovalainen,1981-10-19,1981,10,19,Formula-1,4
5,Nakajima,1985-01-11,1985,1,11,Formula-1,1
6,Bourdais,1979-02-28,1979,2,28,Formula-1,1
7,RÃ¤ikkÃ¶nen,1979-10-17,1979,10,17,Formula-1,4
8,Kubica,1984-12-07,1984,12,7,Formula-1,4
9,Glock,1982-03-18,1982,3,18,Formula-1,1
10,Sato,1977-01-28,1977,1,28,Formula-1,1
11,Piquet Jr.,1985-07-25,1985,7,25,Formula-1,3
12,Massa,1981-04-25,1981,4,25,Formula-1,2
14,Trulli,1974-07-13,1974,7,13,Formula-1,3
15,Sutil,1983-01-11,1983,1,11,Formula-1,1
16,Webber,1976-08-27,1976,8,27,Formula-1,3
19,Vettel,1987-07-03,1987,7,3,Formula-1,3
20,Fisichella,1973-01-14,1973,1,14,Formula-1,1
21,Barrichello,1972-05-23,1972,5,23,Formula-1,2
22,Schumacher,1975-06-30,1975,6,30,Formula-1,2
23,Liuzzi,1980-08-06,1980,8,6,Formula-1,3
24,Wurz,1974-02-15,1974,2,15,Formula-1,1
26,Albers,1979-04-16,1979,4,16,Formula-1,2
27,Winkelhock,1980-06-13,1980,6,13,Formula-1,2
28,Yamamoto,1982-07-09,1982,7,9,Formula-1,3
29,Schumacher,1969-01-03,1969,1,3,Formula-1,1
30,Pablo Montoya,1975-09-20,1975,9,20,Formula-1,3
31,Klien,1983-02-07,1983,2,7,Formula-1,1
32,Monteiro,1976-07-24,1976,7,24,Formula-1,3
33,Ide,1975-01-21,1975,1,21,Formula-1,1
34,Villeneuve,1971-04-09,1971,4,9,Formula-1,2
35,Montagny,1978-01-05,1978,1,5,Formula-1,1
36,de la Rosa,1971-02-24,1971,2,24,Formula-1,1
37,Doornbos,1981-09-23,1981,9,23,Formula-1,3
38,Karthikeyan,1977-01-14,1977,1,14,Formula-1,1
39,Friesacher,1980-09-26,1980,9,26,Formula-1,3
40,Zonta,1976-03-23,1976,3,23,Formula-1,1
41,Pizzonia,1980-09-11,1980,9,11,Formula-1,3
42,da Matta,1973-09-19,1973,9,19,Formula-1,3
43,Panis,1966-09-02,1966,9,2,Formula-1,3
44,Pantano,1979-02-04,1979,2,4,Formula-1,1
45,Bruni,1981-05-30,1981,5,30,Formula-1,2
46,Baumgartner,1981-01-01,1981,1,1,Formula-1,1
47,GenÃ©,1974-03-29,1974,3,29,Formula-1,1
48,Frentzen,1967-05-18,1967,5,18,Formula-1,2
49,Verstappen,1972-03-04,1972,3,4,Formula-1,1
51,Firman,1975-05-20,1975,5,20,Formula-1,2
52,Kiesa,1978-03-03,1978,3,3,Formula-1,1
53,Burti,1975-03-05,1975,3,5,Formula-1,1
54,Alesi,1964-06-11,1964,6,11,Formula-1,2
56,HÃ¤kkinen,1968-09-28,1968,9,28,Formula-1,3
57,Marques,1976-01-19,1976,1,19,Formula-1,1
