,name_last,dob,year,month,day,trimestre,Deporte
643,Zverev,19970420,1997,4,20,2,Tenis
4652,Erguden,19860101,1986,1,1,1,Tenis
4653,Cuevas,19860101,1986,1,1,1,Tenis
4654,Lewis,19860102,1986,1,2,1,Tenis
4655,Kilchhofer,19860103,1986,1,3,1,Tenis
4658,Stakhovsky,19860106,1986,1,6,1,Tenis
4659,Duclos,19860108,1986,1,8,1,Tenis
4660,Ribeiro Neto,19860109,1986,1,9,1,Tenis
4663,Andujar,19860123,1986,1,23,1,Tenis
4664,Clar Rossello,19860123,1986,1,23,1,Tenis
4665,Oswald,19860123,1986,1,23,1,Tenis
4667,Gely,19860124,1986,1,24,1,Tenis
4668,Jozwik,19860125,1986,1,25,1,Tenis
4670,Millot,19860130,1986,1,30,1,Tenis
4671,Campozano,19860131,1986,1,31,1,Tenis
4672,Steinberger,19860201,1986,2,1,1,Tenis
4673,Siwy,19860204,1986,2,4,1,Tenis
4674,Beck,19860205,1986,2,5,1,Tenis
4675,Sitak,19860208,1986,2,8,1,Tenis
4676,Troicki,19860210,1986,2,10,1,Tenis
4678,Rosa,19860214,1986,2,14,1,Tenis
4679,Rieschick,19860215,1986,2,15,1,Tenis
4680,Miklusicak,19860216,1986,2,16,1,Tenis
4681,Sterin,19860220,1986,2,20,1,Tenis
4682,Singh,19860221,1986,2,21,1,Tenis
4685,Bujniewicz,19860226,1986,2,26,1,Tenis
4687,Nugent,19860301,1986,3,1,1,Tenis
4688,Sharan,19860302,1986,3,2,1,Tenis
4689,Figliomeni,19860304,1986,3,4,1,Tenis
4692,Guenat,19860306,1986,3,6,1,Tenis
4693,Wolmarans,19860307,1986,3,7,1,Tenis
4694,Leonte,19860308,1986,3,8,1,Tenis
4695,Vasiliev,19860308,1986,3,8,1,Tenis
4696,Cubas,19860314,1986,3,14,1,Tenis
4698,Vallverdu,19860317,1986,3,17,1,Tenis
4699,Sattanino,19860318,1986,3,18,1,Tenis
4700,Leong,19860318,1986,3,18,1,Tenis
4701,Mugurel Anagnastopol,19860323,1986,3,23,1,Tenis
4702,Hubble,19860325,1986,3,25,1,Tenis
4703,Matsukevitch,19860328,1986,3,28,1,Tenis
4704,Marchegiani,19860329,1986,3,29,1,Tenis
4705,Milivojevic,19860331,1986,3,31,1,Tenis
4707,Jones,19860401,1986,4,1,2,Tenis
4708,Morales,19860402,1986,4,2,2,Tenis
4709,Amado,19860402,1986,4,2,2,Tenis
4710,Reister,19860402,1986,4,2,2,Tenis
4714,Diaz Barriga,19860409,1986,4,9,2,Tenis
4715,Granollers,19860412,1986,4,12,2,Tenis
4716,Reynet,19860414,1986,4,14,2,Tenis
4717,Ouanna,19860414,1986,4,14,2,Tenis
4720,Schwank,19860423,1986,4,23,2,Tenis
4722,Kuseta,19860428,1986,4,28,2,Tenis
4723,Soloviev,19860504,1986,5,4,2,Tenis
4724,Karanashev,19860509,1986,5,9,2,Tenis
4725,Nedelko,19860512,1986,5,12,2,Tenis
4726,Selvaraj,19860518,1986,5,18,2,Tenis
4727,Anderson,19860518,1986,5,18,2,Tenis
4731,Kamke,19860521,1986,5,21,2,Tenis
