,name,dob,year,month,day,trimestre,Deporte
0,Angelina Lazarenko,13/04/1998,1998,4,13,2,Voley
1,Svetlana Serbina,15/05/1996,1996,5,15,2,Voley
2,Ekaterina Shkurikhina,17/06/1996,1996,6,17,2,Voley
3,Kristina Kurnosova,17/06/1997,1997,6,17,2,Voley
4,Ekaterina Novikova,07/12/1996,1996,7,12,3,Voley
5,Victoria Zhurbenko,17/03/1996,1996,3,17,1,Voley
6,Angelina Sperskaite,11/02/1997,1997,11,2,4,Voley
7,Anastasiia Barchuk,09/02/1996,1996,9,2,3,Voley
8,Anastasiia Cheremisina,14/01/1996,1996,1,14,1,Voley
9,Anna Lazareva,31/01/1997,1997,1,31,1,Voley
10,Tatiana Iurinskaia,25/01/1996,1996,1,25,1,Voley
11,Sabina Gilfanova,14/02/1996,1996,2,14,1,Voley
12,Drussyla Costa,01/07/1996,1996,1,7,1,Voley
13,Lana Concei̤̣o,08/12/1996,1996,8,12,3,Voley
14,Ariane Pinto,27/01/1997,1997,1,27,1,Voley
15,Laiza Ferreira,18/02/1996,1996,2,18,1,Voley
16,Gabriela Candido Da Silva,22/05/1996,1996,5,22,2,Voley
17,Gabriela Silva,05/03/1996,1996,5,3,2,Voley
18,Karoline Tormena,21/03/1996,1996,3,21,1,Voley
19,Lorenne Geraldo Teixeira,08/01/1996,1996,8,1,3,Voley
20,Thais Oliveira,01/04/1996,1996,1,4,1,Voley
21,Lais Vasques,12/02/1996,1996,12,2,4,Voley
22,Lyara Medeiros,19/09/1996,1996,9,19,3,Voley
23,Maiara Basso,03/01/1996,1996,3,1,1,Voley
24,Nanami Hirose,12/05/1997,1997,12,5,4,Voley
25,Misaki Shirai,30/07/1996,1996,7,30,3,Voley
26,Yurika Kono,08/04/1996,1996,8,4,3,Voley
27,Yuka Kitsui,15/01/1997,1997,1,15,1,Voley
28,Haruka Maruo,15/08/1996,1996,8,15,3,Voley
29,Haruka Kanamori,09/04/1996,1996,9,4,3,Voley
30,Moeri Hanai,17/04/1997,1997,4,17,2,Voley
31,Mizuki Yanagita,26/03/1996,1996,3,26,1,Voley
32,Yuka Onodera,22/03/1997,1997,3,22,1,Voley
33,Shino Nakata,15/07/1997,1997,7,15,3,Voley
34,Kaori Mabashi,18/11/1996,1996,11,18,4,Voley
35,Anna Koike,16/12/1996,1996,12,16,4,Voley
36,Slavena Nikova,07/06/1996,1996,7,6,3,Voley
37,Elitsa Barakova,11/03/1997,1997,11,3,4,Voley
38,Polina Neykova,07/10/1998,1998,7,10,3,Voley
39,Simona Nikolova,29/07/1997,1997,7,29,3,Voley
40,Iveta Stanchulova,11/08/1997,1997,11,8,4,Voley
41,Vangeliya Rachkovska,19/07/1997,1997,7,19,3,Voley
42,Gergana Dimitrova,28/02/1996,1996,2,28,1,Voley
43,Miroslava Paskova,16/02/1996,1996,2,16,1,Voley
44,Kristiana Petrova,13/07/1997,1997,7,13,3,Voley
45,Radostina Marinova,02/10/1998,1998,2,10,1,Voley
46,Zhana Todorova,06/01/1997,1997,6,1,2,Voley
47,Mirela Shahpazova,28/10/1997,1997,10,28,4,Voley
48,Jovana Kocic,24/02/1998,1998,2,24,1,Voley
49,Aleksandra Cirovic,30/09/1997,1997,9,30,3,Voley
50,Sara Lozo,29/04/1997,1997,4,29,2,Voley
51,Katarina Marinkovic,04/04/1996,1996,4,4,2,Voley
52,Jelena Vignjevic,07/06/1996,1996,7,6,3,Voley
53,Maja Aleksic,06/06/1997,1997,6,6,2,Voley
54,Katarina Lazovic,12/09/1999,1999,12,9,4,Voley
55,Bojana Milenkovic,06/03/1997,1997,6,3,2,Voley
56,Aleksandra Tadic,24/12/1997,1997,12,24,4,Voley
57,Sara Vucicevic,29/04/1997,1997,4,29,2,Voley
58,Milena Dimic,31/08/1997,1997,8,31,3,Voley
59,Marija Vujnovic,11/05/1997,1997,11,5,4,Voley
60,Leslie Ang̩lica Lopez Flores,13/02/1996,1996,2,13,1,Voley
61,Maria Fernanda Rodriguez Gomez,23/06/1997,1997,6,23,2,Voley
62,Janeth Alejandra Vargas Guevara,25/07/1997,1997,7,25,3,Voley
63,Maria Elena Aguilera,08/06/1997,1997,8,6,3,Voley
64,Kathya Paulina Garcia Chavez,06/03/1998,1998,6,3,2,Voley
65,Miriam Arleth Bojorquez Ruiz,14/12/1997,1997,12,14,4,Voley
66,Montserrat Castro Narvaez,12/12/1996,1996,12,12,4,Voley
67,Fernanda Ba̱uelos,19/03/1997,1997,3,19,1,Voley
68,Kitzia Adonay Corrales Hernandez,12/02/1996,1996,12,2,4,Voley
69,Karina Angelica Flores Gamez,16/08/1998,1998,8,16,3,Voley
70,Mitzy Natalia Gonzalez Guzman,03/08/1997,1997,3,8,1,Voley
71,Alondra Amaro Rodriguez,09/06/1998,1998,9,6,3,Voley
72,Dalila Palma Rodriguez,18/11/1999,1999,11,18,4,Voley
73,Laura Beatriz Suarez Hernandez,13/12/1998,1998,12,13,4,Voley
74,Aidachi Attilah Aguero Aguilera,19/03/1999,1999,3,19,1,Voley
75,Claudia Hernandez Aguila,09/01/1997,1997,9,1,3,Voley
76,Diaris De La Caridad Perez Ramos,16/11/1998,1998,11,16,4,Voley
77,Kitania Medina Torres,24/02/1999,1999,2,24,1,Voley
78,Ailama Cese Montalvo,29/10/2000,2000,10,29,4,Voley
79,Liset Herrera Blanco,06/12/1998,1998,6,12,2,Voley
80,Anaila Martinez Chaviano,20/03/1999,1999,3,20,1,Voley
81,Carmela Massip Mursuli,17/01/1998,1998,1,17,1,Voley
82,Sonia Beatriz Romero Espinosa,02/08/1997,1997,2,8,1,Voley
83,Anet Alfonso Benitez,26/06/1996,1996,6,26,2,Voley
84,Haiping Sun,23/05/1996,1996,5,23,2,Voley
85,Mingyuan Hu,17/05/1996,1996,5,17,2,Voley
86,Zixuan Meng,18/11/1996,1996,11,18,4,Voley
87,Ye Jin,01/03/1996,1996,1,3,1,Voley
88,Qingqing Du,18/12/1996,1996,12,18,4,Voley
89,Qian Zhang,20/02/1997,1997,2,20,1,Voley
90,Jiayi Huang,16/08/1996,1996,8,16,3,Voley
